Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Empty Chairs	Don Mclean	Don Mclean	American Pie						Rock	7426245	207	1	1	6	10	1971	5/27/26, 11:03 AM	5/27/26, 11:03 AM	256	44100		Apple Music AAC audio file							
Homeward Bound	Simon & Garfunkel	Paul Simon	Parsley, Sage, Rosemary and Thyme						Pop	6087059	152	1	1	4	12	1966	5/27/26, 11:03 AM	5/27/26, 11:03 AM	256	44100		Apple Music AAC audio file							
Sweet Baby James	James Taylor	James Taylor	Sweet Baby James (Remastered)						Singer/Songwriter	6442910	173	1	1	1	11	1970	5/27/26, 11:03 AM	5/27/26, 11:03 AM	256	44100		Apple Music AAC audio file							
Comeback Loading	Brown Horse	Patrick Turner, Emma Tovell, Nyle Holihan & Rowan Braham	Total Dive						Americana	7706253	211	1	1	3	10	2026	5/27/26, 11:03 AM	5/27/26, 11:03 AM	256	44100		Apple Music AAC audio file							
Eu Pensei	Pedro Mizutani & Skinshape	Will Dorey	Pensando Baixo - EP						Worldwide	5106612	132	1	1	1	4	2024	5/27/26, 11:03 AM	5/27/26, 11:03 AM	256	44100		Apple Music AAC audio file							
Mariama Kaba	Boubacar Traoré	Traditional & Boubacar Traoré	Mariama						African	11623210	338	1	1	1	8	1990	5/27/26, 11:03 AM	5/27/26, 11:03 AM	256	44100		Apple Music AAC audio file							
Two Leads and a Computer	Martyn		The Air Between Words						Electronic	13761136	398	1	1	6	9	2014	5/27/26, 11:03 AM	5/27/26, 11:03 AM	256	44100		Apple Music AAC audio file							
When The Sleeper Wakes	Martyn	Martyn Deykers	Music for Existing						Downtempo	14726370	420	1	1	8	8	2026	5/27/26, 11:03 AM	5/27/26, 11:03 AM	256	44100		Apple Music AAC audio file							
Shopping for an Avant-Garde Identity in the Bazaar of Life	Sergeant	Ferre Marnef, Benjamin Cools & Geraldine Vanspauwen	Symbols						Rock	11548451	332	1	1	1	8	2026	5/27/26, 11:03 AM	5/27/26, 11:03 AM	256	44100		Apple Music AAC audio file							
Rituals to Exist & Connect	Octo Octa	Maya Bouldry-Morrison	Sigils For Survival						Dance	17844431	517	1	1	6	8	2026	5/27/26, 11:03 AM	5/27/26, 11:03 AM	256	44100		Apple Music AAC audio file							
Chance to Bleed	Kurt Vile	Kurt Vile	Philadelphia's been good to me						Rock	11026029	296	1	1	5	12		5/27/26, 11:03 AM	5/27/26, 11:03 AM	256	44100		Apple Music AAC audio file							
Holly Holy	Neil Diamond	Neil Diamond	All-Time Greatest Hits						Pop	10798090	280	1	1	5	23	1969	5/27/26, 11:03 AM	5/27/26, 11:03 AM	256	44100		Apple Music AAC audio file							
Where's My Brain???	The Lazy Eyes	Itay Shachar & Harvey Geraghty	SongBook						Psychedelic	14074884	403	1	1	10	12	2021	5/27/26, 10:50 AM	5/27/26, 10:59 AM	256	44100		Apple Music AAC audio file							
Sand Dream	Liminal	Alako Myles, River Glass & Tom Peter	White Dots						Alternative	12966146	370	1	1	2	9	2023	5/27/26, 10:50 AM	5/27/26, 10:59 AM	256	44100		Apple Music AAC audio file							
