Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Dropper	David Kilgour, The Heavy Eights & David Kilgour and the Heavy Eights	David Kilgour, Thomas Bell, Tony de Raad and Taane Tokona	End Times Undone						Alternative	7182203	198	1	1	6	10	2014	2/5/26, 12:52 PM		256	44100		Apple Music AAC audio file							
Start Without Me	Pedro the Lion	Walsh Timothy William	Achilles' Heel (Remastered)						Alternative	7088518	193	1	1	10	11	2004	2/5/26, 12:52 PM		256	44100		Apple Music AAC audio file							
Follow You Down	Gin Blossoms	Scott Johnson, Bill Leen, Phillip Neil Rhodes, Jesse Valenzuela & Robin Wilson	Congratulations I'm Sorry						Alternative	9441584	270	1	1	3	14	1996	2/5/26, 12:52 PM		256	44100		Apple Music AAC audio file							
Rhinestone Cowboy	Glen Campbell	Larry Weiss	Rhinestone Cowboy (Expanded Edition)						Country	7701441	194	1	1	6	15	1975	2/5/26, 12:52 PM		256	44100		Apple Music AAC audio file							
The Diver (feat. Gildaa) [Alternate]	Anne Paceo	Anne Paceo	Atlantis (Deluxe Edition)						Mainstream Jazz	9654236	266	1	2	4	4	2026	2/5/26, 12:52 PM		256	44100		Apple Music AAC audio file							
Quand Le Blues S'en Ira	Henri Texier	Jean Sauvielle	Varech						Jazz	8175640	212	1	1	2	9	1977	2/5/26, 12:52 PM		256	44100		Apple Music AAC audio file							
Mother Nature	MGMT	Ben Goldwasser & Brian Joseph Burton	Loss Of Life						Alternative	9289143	236	1	1	2	10	2023	2/3/26, 1:29 PM		256	44100		Apple Music AAC audio file							
Skull Pop	Guerilla Toss	Kassie Carlson & Peter Negroponte	GT Ultra						Alternative	11351364	301	1	1	6	8	2017	2/5/26, 12:52 PM		256	44100		Apple Music AAC audio file							
Wild Fantasy	Guerilla Toss	Kassie Carlson, Peter Negroponte & Arian Shafiee	Famously Alive						Alternative	9340047	269	1	1	5	10	2022	2/5/26, 12:52 PM		256	44100		Apple Music AAC audio file							
Panglossian Mannequin	Guerilla Toss	Peter Negroponte & Kassie Carlson	You're Weird Now						Alternative	10844665	310	1	1	6	10	2025	2/5/26, 12:52 PM		256	44100		Apple Music AAC audio file							
Philistine Wavelength	Shackleton	Sam Shackleton	Euphoria Bound						Electronic	12187796	342	1	1	2	10	2026	2/5/26, 12:52 PM		256	44100		Apple Music AAC audio file							
Popafangout	Sharp Pins	Kai Slater	Balloon Balloon Balloon						Indie Rock	6445229	176	1	1	1	21	2025	2/5/26, 12:52 PM		256	44100		Apple Music AAC audio file							
