Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Sloth	Fairport Convention	Richard Thompson & David Swarbrick	Full House (Bonus Track Edition)						Alternative Folk	19820235	553	1	1	4	12	1970	1/7/26, 4:49 PM	1/7/26, 4:49 PM	256	44100		Apple Music AAC audio file							
Boom Shack-A-Lak	Apache Indian	Ervin Woolley & Steven Kapur	Make Way For The Indian						Reggae	9485138	271	1	1	11	11	1993	1/7/26, 4:49 PM	1/7/26, 4:49 PM	256	44100		Apple Music AAC audio file							
Suavemente	Elvis Crespo	Elvis Crespo	Suavemente						Música tropical	9510555	267	1	1	1	10	1998	1/7/26, 4:49 PM	1/7/26, 4:49 PM	256	44100		Apple Music AAC audio file							
Doom Bikini	james K	james K, Francis Latreille & Patrick Holland	Friend						Electronic	10494205	296	1	1	3	13	2025	1/7/26, 4:49 PM	1/7/26, 4:49 PM	256	44100		Apple Music AAC audio file							
Love and Mercy	Brian Wilson	Brian Wilson & Eugene Landy	I Just Wasn't Made for These Times						Rock	7341472	193	1	1	5	11	1995	1/2/26, 2:46 PM		256	44100		Apple Music AAC audio file			2	1/2/26, 4:16 PM	1	1/6/26, 4:10 PM	
Toast	Pond	Jay Watson, James Ireland, Nicholas Allbrook, Joseph Ryan & Jamie Terry	9 (Deluxe Edition)						Rock	8725145	249	1	1	9	12	2021	12/3/25, 6:19 PM		256	44100		Apple Music AAC audio file			5	1/2/26, 4:20 PM			
Bonehead	Frankie & The Witch Fingers	Dylan Sizemore, Josh Menashe, Nikki Pickle & Nicholas Aguilar	i-Candy - Single						Psychedelic	10774483	289	1	1	2	2	2024	4/25/25, 9:59 AM		256	44100		Apple Music AAC audio file			7	1/6/26, 4:15 PM			
Working Man	Rush	Geddy Lee & Alex Lifeson	The Complete Mercury Years	Rush					Hard Rock	15404258	430	1	16	8	8	1974	1/7/26, 4:49 PM	1/7/26, 4:49 PM	256	44100		Apple Music AAC audio file							
Anthem	Rush	Geddy Lee & Alex Lifeson	Fly By Night (Remastered)						Hard Rock	9451602	266	1	1	1	8	1975	1/7/26, 4:49 PM	1/7/26, 4:49 PM	256	44100		Apple Music AAC audio file							
Shoo-In	Rickshaw Billie's Burger Patrol	Leo Stephen Lydon	Doom Wop						Rock	5417003	141	1	1	1	9	2022	1/7/26, 4:49 PM	1/7/26, 4:49 PM	256	44100		Apple Music AAC audio file							
New Threats From The Soul	Ryan Davis & the Roadhouse Band	Ryan Thomas Davis	New Threats From The Soul						Indie Rock	20381705	561	1	1	1	7	2025	1/7/26, 4:49 PM	1/7/26, 4:49 PM	256	44100		Apple Music AAC audio file							
The Simple Joy	Ryan Davis & the Roadhouse Band	Ryan Thomas Davis	New Threats From The Soul						Indie Rock	16295632	449	1	1	5	7	2025	1/7/26, 4:49 PM	1/7/26, 4:49 PM	256	44100		Apple Music AAC audio file							
The Perfect Kiss (2022 Digital Master)	New Order	Bernard Sumner, Gillian Gilbert, Peter Hook & Stephen Morris	Low-Life (Definitive)						Rock	10166128	289	1	2	2	8	1985	1/7/26, 4:49 PM	1/7/26, 4:49 PM	256	44100		Apple Music AAC audio file							
