Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
I Got a Name (Stereo Version)	Jim Croce	Charles Fox & Norman Gimbel	The Original Albums…Plus						Singer/Songwriter	7553132	194	1	1	24	50	1973	4/8/26, 5:25 PM	4/8/26, 5:25 PM	256	44100		Apple Music AAC audio file							
Caring Is Creepy (2021 Remaster)	The Shins	James Mercer	Oh, Inverted World (20th Anniversary Remaster)						Alternative	7486936	199	1	1	1	11	2001	4/8/26, 5:25 PM	4/8/26, 5:25 PM	256	44100		Apple Music AAC audio file							
Leaving Shire	Bo Hansson	Bo Hansson	Lord of the Rings						Pop	8617373	210	1	1	1	13	1970	4/8/26, 5:25 PM	4/8/26, 5:25 PM	256	44100		Apple Music AAC audio file							
Losing Hand	Ray Charles and His Orchestra	Charles Calhoun	Ray Charles						R&B/Soul	7164238	191	1	1	6	14	1957	4/8/26, 5:25 PM	4/8/26, 5:25 PM	256	44100		Apple Music AAC audio file							
Mali-Cuba	AfroCubism	Toumani Diabate	Afrocubism						Latin Jazz	13041406	338	1	1	1	16	2010	4/8/26, 5:25 PM	4/8/26, 5:25 PM	256	44100		Apple Music AAC audio file							
Galatea's Guitar	Gabor Szabo	Gabor Szabo	Dreams						Jazz	12488127	339	1	1	1	7	1967	4/8/26, 5:25 PM	4/8/26, 5:25 PM	256	44100		Apple Music AAC audio file							
If You Remember I Forgot How To Dream Pt.1	Stereolab	Timothy Gane & Laetitia Sadier	Instant Holograms On Metal Film						Alternative	7958844	221	1	1	10	13	2025	4/8/26, 5:25 PM	4/8/26, 5:25 PM	256	44100		Apple Music AAC audio file							
Immortal Hands	Stereolab	Timothy Gane & Laetitia Sadier	Instant Holograms On Metal Film						Alternative	13925194	385	1	1	4	13	2025	4/8/26, 5:25 PM	4/8/26, 5:25 PM	256	44100		Apple Music AAC audio file							
Dancing in the Club (MJ Lenderman Version)	This Is Lorelei & MJ Lenderman	Nate Amos	Box for Buddy, Box for Star (Deluxe)						Country	10514997	298	1	1	12		2025	4/8/26, 5:25 PM	4/8/26, 5:25 PM	256	44100		Apple Music AAC audio file							
Forever in Blue Jeans	Neil Diamond	Neil Diamond & Richard Bennett	You Don't Bring Me Flowers						Pop	8521194	219	1	1	2	10	1978	4/8/26, 5:25 PM	4/8/26, 5:25 PM	256	44100		Apple Music AAC audio file							
Only the Good Die Young	Billy Joel	Billy Joel	The Stranger						Rock	8894084	235	1	1	6	9	1977	4/8/26, 5:25 PM	4/8/26, 5:25 PM	256	44100		Apple Music AAC audio file							
Neuromance	Pangaea	Kevin McAuley	Neuromance - Single						Electronic	6786674	186	1	1	1	1	2025	4/8/26, 5:25 PM	4/8/26, 5:25 PM	256	44100		Apple Music AAC audio file							
Nobody Taught Me	The Lazy Eyes	Itay Shachar & Harvey Geraghty	SongBook						Psychedelic	8136972	227	1	1	8	12	2021	4/7/26, 12:55 PM	4/8/26, 5:24 PM	256	44100		Apple Music AAC audio file							
Hawaiian Holiday	Heaters	Joshua Korf, Andrew Tamlyn & Nolan Krebs	Holy Water Pool						Rock	7312356	201	1	1	5	18	2015	4/7/26, 1:00 PM	4/8/26, 5:24 PM	256	44100		Apple Music AAC audio file							
Dream Girls	Moses Gunn Collective		Dream Girls - Single						Pop	7975248	212	1	1	1	1	2016	4/7/26, 12:05 PM	4/8/26, 5:24 PM	256	44100		Apple Music AAC audio file							
