Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Love	Lee Michaels	Michaels	Carnival of Life (Remastered)						Psychedelic	11299725	309	1	1	4	9	1968	4/23/26, 11:11 AM	4/23/26, 11:11 AM	256	44100		Apple Music AAC audio file							
Yes I Know	The Corporation		Get On Our Swing						Rock	5609497	150	1	1	5	7	1970	4/23/26, 11:11 AM	4/23/26, 11:11 AM	256	44100		Apple Music AAC audio file							
Amie	Pure Prairie League	Craig Fuller	Bustin' Out (Remastered)						Rock	9477844	259	1	1	6	9	1972	4/23/26, 11:11 AM	4/23/26, 11:11 AM	256	44100		Apple Music AAC audio file							
Going Insane	American Sharks	Michael Hardin & Nick Cornetti	Not Dead Yet						Metal	6878747	183	1	1	3	9	2026	4/23/26, 11:11 AM	4/23/26, 11:11 AM	256	44100		Apple Music AAC audio file							
Asteroid	Kyuss	Brant Bjork & Joshua Homme	Welcome to Sky Valley						Hard Rock	10602798	288	1	1	2	10	1994	4/23/26, 11:11 AM	4/23/26, 11:11 AM	256	44100		Apple Music AAC audio file							
Orion (Live AF Version)	The Sons of Rainier & Western AF	Devin Champlin	The Sons of Rainier Live AF Session (Live AF Version) - EP						Country	7627606	208	1	1	2	4	2024	4/23/26, 11:11 AM	4/23/26, 11:11 AM	256	44100		Apple Music AAC audio file							
Just The Way You Are	Milky	Giordano Trivellato, Giuliano Sacchetto, Paul McCartney, Linda McCartney, Robert Forster & Grant McLennan	Just The Way You Are - Single						Dance	7553332	210	1	1	2	8	2002	4/20/26, 1:58 PM	4/22/26, 12:05 PM	256	44100		Apple Music AAC audio file							
Bird on a Wire	Hooveriii		Hooveriii						Rock	11206175	298	1	1	1	9	2018	4/7/26, 3:52 PM		256	44100		Apple Music AAC audio file							
Heavy Sound	Martyn	Martyn Deykers	Heavy Sound - Single						Downtempo	12679598	360	1	1	1	1	2026	4/23/26, 11:11 AM	4/23/26, 11:11 AM	256	44100		Apple Music AAC audio file							
You Will Never Hold The Key	Spirit Adrift	Nathan Raleigh Garrett	Infinite Illumination						Metal	14938521	427	1	1	3	8	2026	4/23/26, 11:11 AM	4/23/26, 11:11 AM	256	44100		Apple Music AAC audio file							
Woodsman	Desert Storm	Matthew Ryan, Ryan Cole, Christopher White, Elliot Cole & Andrew Keyzor	Buried Under The Weight Of Reason						Metal	11272909	306	1	1	3	9	2026	4/23/26, 11:11 AM	4/23/26, 11:11 AM	256	44100		Apple Music AAC audio file							
Iron Feet	YHWH Nailgun	YHWH Nailgun	45 Pounds						Alternative	4147566	105	1	1	6	10	2025	4/23/26, 11:11 AM	4/23/26, 11:11 AM	256	44100		Apple Music AAC audio file							
Lampoon	shame		Songs of Praise						Indie Rock	5623993	154	1	1	9	10	2018	4/23/26, 11:11 AM	4/23/26, 11:11 AM	256	44100		Apple Music AAC audio file							
Oil Change	King Tuff	Kyle Thomas	MOO						Rock	5878276	159	1	1	6	10	2026	4/23/26, 11:11 AM	4/23/26, 11:11 AM	256	44100		Apple Music AAC audio file							
