Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Here We Are In the Years	Neil Young	Neil Young	Neil Young (Remastered)						Rock	8028924	197	1	1	7	10	1968		7/23/26, 9:02 PM	256	44100		Apple Music AAC audio file							
Sail Away Home	John Denver	John Denver	Whose Garden Was This						Pop	9872507	278	1	1	2	11	1970		7/23/26, 9:02 PM	256	44100		Apple Music AAC audio file							
Neighbors Blues	Jack White	Jack White	Frozen Charlotte						Rock	10748621	304	1	1	13	13	2026		7/23/26, 9:02 PM	256	44100		Apple Music AAC audio file							
Frozen Edges of The Wound	Conan	Jon Davis, David Ryley & Johnny King	Violence Dimension						Metal	7226760	200	1	1	5	8	2025	7/10/26, 11:31 AM		256	44100		Apple Music AAC audio file			4	7/22/26, 1:04 PM	1	7/14/26, 10:40 AM	
Box Full of Letters	Wilco	Jeff Tweedy	A.M.						Rock	6684479	186	1	1	3	13	1995	7/15/26, 4:06 PM		256	44100		Apple Music AAC audio file			6	7/23/26, 11:18 AM			
Say It Right	Nelly Furtado	Nelly Furtado, Tim Mosley & Nate Hills	Loose						Pop	8262131	223	1	1	10	17	2006	7/18/26, 9:05 PM		256	44100		Apple Music AAC audio file			5	7/23/26, 11:21 AM			
For Real	Okkervil River		Black Sheep Boy (10th Anniversary Edition)						Indie Rock	10807486	282	1	2	2	11	2005		7/23/26, 9:02 PM	256	44100		Apple Music AAC audio file							
Crying Clown	The Wytches	Kristian Bell	Annabel Dream Reader						Alternative	7099152	198	1	1	12	14	2014		7/23/26, 9:02 PM	256	44100		Apple Music AAC audio file							
At a Crawl	Melvins		Ozma						Hard Rock	6524566	166	1	1	3	16	1989		7/23/26, 9:02 PM	256	44100		Apple Music AAC audio file							
Autosmile	@	Stone Filipczak & Victoria Rose	Autosmile						Alternative	15049958	399	1	1	10	11			7/23/26, 9:02 PM	256	44100		Apple Music AAC audio file							
Get Me Down (feat. Jorja Smith)	Nia Archives	Jorja Smith, Dehaney Hunt, Ed Thomas & Ethan P. Flynn	Emotional Junglist						Electronic	7026862	194	1	1	7	14	2026		7/23/26, 9:02 PM	256	44100		Apple Music AAC audio file							
Whispers In The Dark	New Members	Bryan Mooney	Night Time - EP						House	17302620	502	1	1	2	4	2026		7/23/26, 9:02 PM	256	44100		Apple Music AAC audio file							
