Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
The Dream	Thee Oh Sees		Carrion Crawler / The Dream						Alternative	15750791	412	1	1	6	10	2011			256	44100		Apple Music AAC audio file			1	8/27/26, 10:29 AM			
A Simple Plan	Pedro the Lion	Pedro the Lion	Achilles' Heel (Remastered)						Alternative	7788025	221	1	1	9	11	2004			256	44100		Apple Music AAC audio file			1	8/27/26, 10:33 AM			
The Wahs	Westside Cowboy	Reuben Haycocks, Aoife Anson-O’Connell, Jimmy Bradbury & Paddy Murphy	So Much Country ‘Till We Get There - EP						Alternative	5895606	144	1	1	4	5	2026			256	44100		Apple Music AAC audio file			1	8/27/26, 10:35 AM			
Map Ref 41 Degrees N 93 Degrees W (2006 Remastered Version)	Wire		154						Rock	7897145	220	1	1	11	13	1979			256	44100		Apple Music AAC audio file			1	8/27/26, 10:39 AM			
Tryouts for the Human Race	Sparks	Ron Mael, Russell Mael & Giorgio Moroder	No. 1 In Heaven (40th Anniversary Edition)						Pop	13526896	367	1	1	1	12	1979			256	44100		Apple Music AAC audio file			1	8/27/26, 10:45 AM			
There There My Dear (2000 Remastered Version)	Dexys Midnight Runners	Kevin Archer & Kevin Rowland	Searching For the Young Soul Rebels						Rock	7464978	211	1	1	11	11	1980			256	44100		Apple Music AAC audio file			1	8/27/26, 10:48 AM			
Complicated Game	XTC	Andrew Partridge	Drums and Wires (Bonus Track Version)						Alternative	10722550	304	1	1	12	15	1979	8/19/26, 11:39 AM		256	44100		Apple Music AAC audio file			2	8/27/26, 10:53 AM			
Astroturf	King Gizzard & The Lizard Wizard	Stu Mackenzie & Michael Cavanagh	Changes						Alternative	15714777	453	1	1	3	7	2022	10/28/22, 3:17 AM	10/28/22, 3:17 AM	256	44100		Apple Music AAC audio file			22	8/27/26, 11:01 AM			
Eternal Celestial Energy	Spirit Adrift	Nathan Raleigh Garrett	Eternal Celestial Energy - Single						Metal	12191246	344	1	1	1	1	2026			256	44100		Apple Music AAC audio file			1	8/27/26, 11:07 AM			
He's Alive	Dolly Parton	Don Francisco	White Limozeen						Country	9706724	278	1	1	10	10	1989			256	44100		Apple Music AAC audio file			1	8/27/26, 11:11 AM			
Six Blade Knife	Dire Straits	Mark Knopfler	Dire Straits						Rock	10225674	253	1	1	4	9	1978			256	44100		Apple Music AAC audio file			1	8/27/26, 11:15 AM			
Nagoya Guitars	Giacomo Baldelli	Steve Reich	Nagoya Guitars - Single						Classical	10502051	299	1	1	1	1	2026			256	44100		Apple Music AAC audio file			1	8/27/26, 11:20 AM			
Walk Together, Rock Together	7Seconds	Better Youth Organization, PRO: ASCAP & IPI: 127316493	Walk Together, Rock Together						Punk	4144573	108	1	1	7	14	1986			256	44100		Apple Music AAC audio file			2	8/27/26, 11:22 AM			
