Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Wire	U2	The Edge, Adam Clayton & Larry Mullen Jr.	The Unforgettable Fire						Rock	9168738	259	1	1	3	10	1984	5/21/26, 9:51 AM	5/21/26, 9:51 AM	256	44100		Apple Music AAC audio file							
Aflana	Faradjallah & Attarazat Addahabia	Faradjallah	Al Hadaoui (Habibi Funk 011)						Worldwide	10450285	257	1	1	5	7	2017	5/21/26, 9:51 AM	5/21/26, 9:51 AM	256	44100		Apple Music AAC audio file							
Chicha Nola (Alternative Version)	Gitkin	Gitkin	Safe Passage						Electronic	7821750	214	1	1	10	11	2020	5/21/26, 9:51 AM	5/21/26, 9:51 AM	256	44100		Apple Music AAC audio file							
She Works Out Too Much	MGMT	Andrew VanWyngarden & Ben Goldwasser	Little Dark Age						Alternative	10665613	278	1	1	1	9	2018	5/15/26, 3:42 PM		256	44100		Apple Music AAC audio file							
The Crop	Liminal	Alako Myles	The Crop - Single						Rock	11633092	317	1	1	1	1	2026	5/17/26, 11:01 AM		256	44100		Apple Music AAC audio file							
I Took A Trip On A Gemini Spaceship	The Legendary Stardust Cowboy	Norman Odam	Paralyzed - EP						Alternative	5676526	156	1	1	3	6	2011	5/21/26, 9:51 AM	5/21/26, 9:51 AM	256	44100		Apple Music AAC audio file							
You got time and I got money	Smerz	Catharina Stoltenberg & Henriette Motzfeldt	Big city life						Alternative	9550517	271	1	1	8	13	2025	5/21/26, 9:51 AM	5/21/26, 9:51 AM	256	44100		Apple Music AAC audio file							
Might As Well Be Me, Florinda (feat. Blake Mills)	Bruce Hornsby & Bob Weir	B.R. Hornsby & Robert Hunter	Indigo Park						Singer/Songwriter	15031657	432	1	1	9	10	2026	5/21/26, 9:51 AM	5/21/26, 9:51 AM	256	44100		Apple Music AAC audio file							
Late For the Sky (Remastered)	Jackson Browne	Jackson Browne	Late For the Sky (Remastered)						Pop	12207926	341	1	1	1	8	1974	5/21/26, 9:51 AM	5/21/26, 9:51 AM	256	44100		Apple Music AAC audio file							
So Real	Jeff Buckley	Jeff Buckley & Michael Tighe	Grace						Alternative	11108921	283	1	1	5	11	1994	5/21/26, 9:51 AM	5/21/26, 9:51 AM	256	44100		Apple Music AAC audio file							
Foundry	Yu Su	Yu Su	Foundry						Electronic	10527635	299	1	1	4	8	2025	5/21/26, 9:51 AM	5/21/26, 9:51 AM	256	44100		Apple Music AAC audio file							
Nighttime	Carla dal Forno	Carla dal Forno	Confession						Pop	8328566	234	1	1	5	12	2026	5/21/26, 9:51 AM	5/21/26, 9:51 AM	256	44100		Apple Music AAC audio file							
I Gotta	K Wata	Kenzo Herron	Give U Space						Dance	9714783	261	1	1	3	8	2026	5/21/26, 9:51 AM	5/21/26, 9:51 AM	256	44100		Apple Music AAC audio file							
