Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Lawyers, Guns & Money	Bhi Bhiman	Warren Zevon	Peace of Mind						Pop	6457195	171	1	1	7	9	2018	2/11/26, 1:01 PM	2/11/26, 1:01 PM	256	44100		Apple Music AAC audio file							
Helter Skelter	Hüsker Dü	John Lennon & Paul McCartney	1985: The Miracle Year						Rock	11073030	295	1	2	21	23	2025	2/11/26, 1:01 PM	2/11/26, 1:01 PM	256	44100		Apple Music AAC audio file							
Atlantic City	The Band	Bruce Springsteen	Jericho						Rock	11345015	314	1	1	4	12	1993	2/11/26, 1:01 PM	2/11/26, 1:01 PM	256	44100		Apple Music AAC audio file							
mq9	Automatic	ISABELLA GLAUDINI, Lola Dompé & Halle Saxon Gaines	Is It Now?						Alternative	8710177	220	1	1	2	11	2025	2/11/26, 1:01 PM	2/11/26, 1:01 PM	256	44100		Apple Music AAC audio file							
Country Song	Automatic	ISABELLA GLAUDINI, Lola Dompé & Halle Saxon Gaines	Is It Now?						Alternative	7203459	184	1	1	5	11	2025	2/11/26, 1:01 PM	2/11/26, 1:01 PM	256	44100		Apple Music AAC audio file							
Is It Now?	Automatic	ISABELLA GLAUDINI, Lola Dompé & Halle Saxon Gaines	Is It Now?						Alternative	7028062	189	1	1	6	11	2025	2/11/26, 1:01 PM	2/11/26, 1:01 PM	256	44100		Apple Music AAC audio file							
Against The Wind	Bob Seger & The Silver Bullet Band	Bob Seger	Sweet Summertime						Rock	12914220	333	1	1	6	17	1980	2/11/26, 1:01 PM	2/11/26, 1:01 PM	256	44100		Apple Music AAC audio file							
Horizontal Hold	This Heat	Charles Hayward, Charles Bullen & Gareth Williams	This Heat						Alternative	14439616	416	1	1	2	11	1979	2/11/26, 1:01 PM	2/11/26, 1:01 PM	256	44100		Apple Music AAC audio file							
MOUSSA	Thibault Cauvin	Thibault Cauvin & Jordan Cauvin	Alter Ego						Classical Crossover	9115335	250	1	1	5	10	2025	2/11/26, 1:01 PM	2/11/26, 1:01 PM	256	44100		Apple Music AAC audio file							
Feels So Good	Chuck Mangione	Chuck Mangione	Feels So Good						Jazz	21313982	582	1	1	1	6	1977	2/11/26, 1:01 PM	2/11/26, 1:01 PM	256	44100		Apple Music AAC audio file							
But You Just Woke Me Up	This Is Lorelei	Nate Amos	Holo Boy						Rock	4927724	130	1	1	2	9	2025	2/11/26, 1:01 PM	2/11/26, 1:01 PM	256	44100		Apple Music AAC audio file							
Dreams Away	This Is Lorelei	Nate Amos	Holo Boy						Rock	9281670	244	1	1	3	9	2025	2/11/26, 1:01 PM	2/11/26, 1:01 PM	256	44100		Apple Music AAC audio file							
