Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Roll with It	Oasis	Noel Gallagher	(What's the Story) Morning Glory?						Indie Rock	9761448	239	1	1	2	12	1995			256	44100		Apple Music AAC audio file				9/15/26, 3:39 PM			
The Fitted Shirt	Spoon	Britt Daniel	Girls Can Tell						Alternative	7639309	192	1	1	5	11	2001			256	44100		Apple Music AAC audio file				9/15/26, 3:42 PM			
Still Cold	Improvement Movement	Anthony Aparo, Zachary Pyles, Marshall Ruffin & Clark Hamilton	Still Cold - Single						Alternative	9911655	267	1	1	1	1	2026			256	44100		Apple Music AAC audio file				9/15/26, 3:46 PM			
Bless the Telephone	Labi Siffre	Siffre	The Singer & the Song						Pop	4271837	100	1	1	13	15	1971			256	44100		Apple Music AAC audio file				9/15/26, 3:48 PM			
Full Spectrum Dominance	Dummy	Alex Ewell, Emma Maatman, Nathan Odell & Joe Trainor	Do You Love the Color of the Sky?						Alternative	7935218	215	1	1	3	10	2026			256	44100		Apple Music AAC audio file				9/15/26, 3:51 PM			
Blue Dada	Dummy	Alex Ewell, Joe Trainor, Emma Maatman & Nathan Odell	Free Energy						Indie Rock	9885661	283	1	1	5	12	2024			256	44100		Apple Music AAC audio file							
Stride	Beans		All Together Now						Alternative	12300952	353	1		2		2020	9/9/26, 1:44 PM		256	44100									
Cornflake	Psychedelic Porn Crumpets		High Visceral, Pt. 1						Rock	7895610	217	1		1		2016	9/9/26, 5:38 PM		256	44100									
Turn! Turn! Turn! (To Everything There Is a Season)	The Byrds	Pete Seeger	Turn! Turn! Turn! (Reissue Edition with Bonus Tracks)						Rock	8191625	229	1	1	1	18	1965	9/13/26, 5:08 PM		256	44100		Apple Music AAC audio file							
I'll Stay	Funkadelic	George Clinton, Jr. & Grace Hazel Cook	Standing On the Verge of Getting It On						R&B/Soul	15160099	438	1	1	3	7	1974			256	44100		Apple Music AAC audio file				9/16/26, 9:55 AM			
I'd Rather Be With You	Bootsy Collins	Gary Cooper, George Clinton & William Collins	Stretchin' Out In Bootsy's Rubber Band						R&B/Soul	11628145	298	1	1	4	7	1976			256	44100		Apple Music AAC audio file				9/16/26, 10:00 AM			
Edge of Sanity	Detroit's Filthiest	Julian Shamou	Edge of Sanity - Single						Electronic	8069967	209	1	1	1	1	2026			256	44100		Apple Music AAC audio file				9/16/26, 10:03 AM			
This music sounds like something a fish would have on at it's kids birthday party.	Jenny Sparks	Jenny Sparks	jenny and the generators						Dance	7101711	196	1	1	10	11	2026			256	44100		Apple Music AAC audio file				9/16/26, 10:06 AM			
