Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Neon River	The Jelly Bean Bandits		The Jelly Bean Bandits						Rock	6645763	159	1	1	9	12	1967	4/20/26, 11:17 AM	4/20/26, 11:17 AM	256	44100		Apple Music AAC audio file							
Green Things (From Outer Space)	The Dream	Terje Rypdal, Tom Karlsen & Christian Reim	Get Dreamy						Rock	6963964	197	1	1	1	10	1967	4/20/26, 11:17 AM	4/20/26, 11:17 AM	256	44100		Apple Music AAC audio file							
Please Don't Bother Me Anymore	Shin Joong Hyun		Beautiful Rivers and Mountains: The Psychedelic Rock Sound of South Korea's Shin Joong Hyun 1958-1974						Rock	8571172	211	1	1	2	14	2011	4/20/26, 11:17 AM	4/20/26, 11:17 AM	256	44100		Apple Music AAC audio file							
Superimposed	upsammy & Valentina Magaletti	upsammy & Valentina Magaletti	Seismo						Electronic	6797220	187	1	1	2	8	2026	4/20/26, 11:17 AM	4/20/26, 11:17 AM	256	44100		Apple Music AAC audio file							
In the Blink of an Eye	My New Band Believe	Kiran Leonard & Cameron Picton	My New Band Believe						Alternative	11616703	313	1	1	2	8	2026	4/20/26, 11:17 AM	4/20/26, 11:17 AM	256	44100		Apple Music AAC audio file							
Barbed Wire	Cardinals	Euan Manning, Oskar Gudinovic, Finn Manning, Aaron Hurley & Darragh Manning	Masquerade						Alternative	6990375	184	1	1	7	10	2026	4/20/26, 11:17 AM	4/20/26, 11:17 AM	256	44100		Apple Music AAC audio file							
Chime (Edit) [Remastered]	Orbital	Paul Hartnoll & Phil Hartnoll	Chime (Remastered)						Pop	7120421	193	1	1	3	3	1990	4/20/26, 11:17 AM	4/20/26, 11:17 AM	256	44100		Apple Music AAC audio file							
Se Rompen	Waleed	Zachary Saraf	Se Rompen - Single						Electronic	12539096	322	1	1	1	2	2021	4/20/26, 11:17 AM	4/20/26, 11:17 AM	256	44100		Apple Music AAC audio file							
FI3AC2141030	Aleksi Perälä	Aleksi Perälä	Midnight Sun 6						Electronic	7765433	219	1	1	3	10	2021	4/20/26, 11:17 AM	4/20/26, 11:17 AM	256	44100		Apple Music AAC audio file							
Believe	Cher	Brian Higgins, Matthew Gray, Paul Barry, Steven Torch, Stuart Mclennan & Timothy Powell	Believe (Remixes)						Pop	8674690	239	1	1	1	10	1998	4/20/26, 11:17 AM	4/20/26, 11:17 AM	256	44100		Apple Music AAC audio file							
The News	Drugdealer	Michael Collins & Robert Aceto	The News - Single						Alternative	8025654	225	1	1	1	2	2025	4/20/26, 11:17 AM	4/20/26, 11:17 AM	256	44100		Apple Music AAC audio file							
I Am the Walrus (feat. Mike Harrison)	Spooky Tooth	John Lennon & Paul McCartney	The Last Puff						Rock	13118201	382	1	1	1	13	1970	4/20/26, 11:17 AM	4/20/26, 11:17 AM	256	44100		Apple Music AAC audio file							
Frankenstein	TK & The Holy Know-Nothings	Taylor Kingman	The Incredible Heat Machine						Country	10499135	300	1	1	1	11	2021	4/20/26, 11:17 AM	4/20/26, 11:17 AM	256	44100		Apple Music AAC audio file							
