Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Hearts to Cry	Frumious Bandersnatch	Jack King	The Studio Outtakes						Rock	11670553	326	1	1	1	6	2003	5/13/26, 10:19 AM		256	44100		Apple Music AAC audio file							
Sleep a Million Years	Kathy Heideman		Move With Love						Singer/Songwriter	6162264	163	1	1	4	10	2013	5/13/26, 10:19 AM		256	44100		Apple Music AAC audio file							
Softly and Tenderly	Johnny Cash	Johnny Cash	My Mother's Hymn Book						Country	7009850	196	1	1	14	15	2003	5/13/26, 10:19 AM		256	44100		Apple Music AAC audio file							
Going Out	Carla dal Forno	Carla dal Forno	Confession						Pop	9943154	284	1	1	1	12	2026	5/13/26, 10:19 AM		256	44100		Apple Music AAC audio file							
Angel	Trickpony	Michael Gunson, Maria Korkeila & Katie Campbell	24/7 Heaven						Electronica	12051835	337	1	1	3	6	2025	5/13/26, 10:19 AM		256	44100		Apple Music AAC audio file							
Forking Paths	Tristan Arp	Erin Rioux	(re)weave - EP						Electronic	10748905	307	1	1	3	4	2026	5/13/26, 10:19 AM		256	44100		Apple Music AAC audio file							
Citadel on a Satellite	SLIFT	Jean Fossat	UMMON						Rock	20715768	607	1	1	4	11	2020	5/13/26, 10:19 AM		256	44100		Apple Music AAC audio file							
Space Vato	John Garcia	John Garcia, Ehren Groban, Mike Pygmie & Greg Saenz	John Garcia and the Band of Gold						Rock	6086711	164	1	1	1	11	2019	5/13/26, 10:19 AM		256	44100		Apple Music AAC audio file							
When You're Small	MGMT	Andrew VanWyngarden, Ben Goldwasser & James Richardson	Little Dark Age						Alternative	7981628	210	1	1	9	9	2018	5/13/26, 10:19 AM		256	44100		Apple Music AAC audio file							
Roygbiv	Boards of Canada		Music Has the Right to Children						Electronic	5497684	151	1	1	10	18	1998	3/19/24, 6:13 PM		256	44100		Apple Music AAC audio file			4	4/19/24, 6:03 PM			
Het Geweten Van Afdeling Twee	Identified Patient		Weeshuis Der Verloren Zielen - EP						Dance	13739379	399	1	1	2	4	2017	5/13/26, 10:19 AM		256	44100		Apple Music AAC audio file							
Shelter Song	Temples	Not Documented	Sun Structures (Deluxe Version)						Alternative	7456044	190	1	2	1	12	2012	4/28/26, 4:41 PM		256	44100		Apple Music AAC audio file			4	5/11/26, 5:38 PM			
Activate	Frankie & The Witch Fingers	Josh Menashe, Dylan Sizemore & Shaughnessy Starr	Monsters Eating People Eating Monsters...						Psychedelic	16376110	476	1	1	1	10	2020	4/25/24, 12:07 PM	4/25/24, 12:07 PM	256	44100		Apple Music AAC audio file			8	5/11/26, 5:48 PM			
Emerald Nile	CAVS	Michael Cavanagh, Jim Rindfleish & Adam Halliwell	Sojourn						Alternative	9802587	261	1	1	2	10	2026	5/11/26, 5:31 PM		256	44100		Apple Music AAC audio file			1	5/11/26, 6:02 PM			
