Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Don't Give Up On Me	Merle Haggard & The Strangers	Merle Haggard	Merle Haggard Presents His 30th Album						Country	5383807	143	1	1	9	11	1974	3/4/26, 12:36 PM	3/4/26, 12:36 PM	256	44100		Apple Music AAC audio file							
The Gadfly Op. 97a: Romance (3 and 7)	Tasmin Little & Piers Lane	Dmitri Shostakovich	Virtuoso Violin						Classical	6779234	192	1	1	3	17	1992	3/4/26, 12:36 PM	3/4/26, 12:36 PM	256	44100		Apple Music AAC audio file							
For R.A. (feat. Mikael Jorgensen) [California Split Remix]	Minerva Lions	Jared Samuel	Great Strides, Priestess & Queen - EP						Indie Rock	7646038	210	1	1	6	6	2011	3/4/26, 12:36 PM	3/4/26, 12:36 PM	256	44100		Apple Music AAC audio file							
Window Eyes	Veni Sun	Jared Lee Henry	Tongue Talking - Single						Alternative	9017862	228	1	1	2	3	2023	3/4/26, 12:36 PM	3/4/26, 12:36 PM	256	44100		Apple Music AAC audio file							
County Line (feat. Surfer Girl)	Veni Sun	Jared Henry	County Line (feat. Surfer Girl) - Single						Reggae	6829543	173	1	1	1	1	2026	3/1/26, 7:44 PM		256	44100		Apple Music AAC audio file			8	3/2/26, 2:00 PM			
Wish You Were Here	Incubus	Brandon Boyd, Michael Einziger, Alex Katunich, Chris Kilmore & José Pasillas II	Morning View						Alternative	7810670	212	1	1	3	13	2001	3/2/26, 9:55 AM		256	44100		Apple Music AAC audio file			7	3/2/26, 1:52 PM			
Night By Night	Steely Dan	Walter Becker & Donald Fagen	Pretzel Logic						Rock	8806387	218	1	1	2	11	1974	3/4/26, 12:36 PM	3/4/26, 12:36 PM	256	44100		Apple Music AAC audio file							
The Golden Egg of Empathy (feat. WILLOW)	The Claypool Lennon Delirium	Les Claypool & Sean Ono Lennon	The Great Parrot-Ox and the Golden Egg of Empathy						Alternative	8410601	230	1	1	10	14		3/4/26, 12:36 PM	3/4/26, 12:36 PM	256	44100		Apple Music AAC audio file							
Evil Woman	Spooky Tooth	Larry Weiss	Spooky Two						Pop	19396561	547	1	1	4	17	1969	3/4/26, 12:36 PM	3/4/26, 12:36 PM	256	44100		Apple Music AAC audio file							
Little Lies	Fleetwood Mac	Christine McVie & Eddy Quintela	Greatest Hits						Rock	8632694	218	1	1	12	16	1987	3/4/26, 12:36 PM	3/4/26, 12:36 PM	256	44100		Apple Music AAC audio file							
The Scientist	Blaketheman1000	Blake Ortiz-Goldberg	For Those with Eyes to See						Indie Rock	7323544	201	1	1	7	8	2025	3/4/26, 12:36 PM	3/4/26, 12:36 PM	256	44100		Apple Music AAC audio file							
In a City Lining	Cardiacs		A Little Man and a House and the Whole World Window						Pop	12964861	353	1	1	2	11	1988	3/4/26, 12:36 PM	3/4/26, 12:36 PM	256	44100		Apple Music AAC audio file							
When the Angels	Prefab Sprout	Paddy McAloon	Steve McQueen (Legacy Edition)						Pop	9597174	266	1	1	11	22	1985	3/4/26, 12:36 PM	3/4/26, 12:36 PM	256	44100		Apple Music AAC audio file							
Faron Young	Prefab Sprout	Paddy McAloon	Steve McQueen (Legacy Edition)						Pop	8275811	222	1	1	1	22	1985	3/4/26, 12:36 PM	3/4/26, 12:36 PM	256	44100		Apple Music AAC audio file							
