Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Lips	Micachu & The Shapes	Mica Levi	Jewellery (Bonus Track Version)						Alternative	3337937	80	1	1	2	14	2009	6/11/26, 7:11 PM	6/11/26, 7:11 PM	256	44100		Apple Music AAC audio file							
Steps of the Sun	Bill Orcutt & Mabe Fratti	Bill Orcutt & Mabe Fratti	Almost Waking						Folk	8271959	232	1	1	6	8	2026	6/11/26, 7:11 PM	6/11/26, 7:11 PM	256	44100		Apple Music AAC audio file							
Down In the Willow Garden	Art Garfunkel	C. MONROE	Angel Clare						Pop	8602961	243	1	1	2	10	1973	6/11/26, 7:11 PM	6/11/26, 7:11 PM	256	44100		Apple Music AAC audio file							
Beetle	Twelve Point Buck	Brandon Church	Fuzz						Alternative	7049925	198	1	1	9	11	2016	6/11/26, 7:11 PM	6/11/26, 7:11 PM	256	44100		Apple Music AAC audio file							
True Killer	Sneaks	Eva Moolchan	Gymnastics						Alternative	3290904	82	1	1	7	10	2016	6/11/26, 7:11 PM	6/11/26, 7:11 PM	256	44100		Apple Music AAC audio file							
So If Someone Sends You Flowers Babe	The Kynds	Joseph Cirincione & Dan Wood	So If Someone Sends You Flowers Babe b/w Find Me Gone - Single						Rock	5462739	150	1	1	1	2	2025	6/11/26, 7:11 PM	6/11/26, 7:11 PM	256	44100		Apple Music AAC audio file							
It Only Takes One Lion	Belle and Sebastian	Brian McNeill, Christopher Thomas Geddes, DAVID McGOWAN, Fiona Morrison, Pete Ferguson, Richard William Colburn, Robert Michael Kildea, Sarah Ann Martin, Stephen Thomas Jackson & Stuart Lee Murdoch	It Only Takes One Lion - Single						Alternative	9679951	253	1	1	1	1	2026	6/11/26, 7:11 PM	6/11/26, 7:11 PM	256	44100		Apple Music AAC audio file							
Beef on Weck	Gentle Dom	Gentle Dom	Fanta Se - EP						Electronic	10192269	282	1	1	1	6	2020	6/11/26, 7:11 PM	6/11/26, 7:11 PM	256	44100		Apple Music AAC audio file							
Canyon	Kloke & Tim Reaper	Andy Donnelly & Edem Alloh	MINDGAME 10 - EP						Jungle/Drum'n'bass	11852941	339	1	1	2	4	2025	6/11/26, 7:11 PM	6/11/26, 7:11 PM	256	44100		Apple Music AAC audio file							
Yahia Mu	The Uhuru Dance Band	Kwadwo Donkoh	Ghana Special: Highlife						Worldwide	9002214	250	1	1	4	10	2009	6/11/26, 7:11 PM	6/11/26, 7:11 PM	256	44100		Apple Music AAC audio file							
Mar Negro (feat. May Roosevelt)	Los Macuanos		El Origen						Rock y Alternativo	9465986	269	1	1	13	14	2013	1/28/25, 6:09 PM		256	44100		Apple Music AAC audio file			5	1/31/25, 12:42 PM			
Bosté	oreglo	Linus Barry, Nicco Rocco, Samuel Sesay & Teigan Hastings	THE WHIRR - EP						Jazz	17275026	483	1	1	5		2025	6/11/26, 7:11 PM	6/11/26, 7:11 PM	256	44100		Apple Music AAC audio file							
Us and Them	Pink Floyd	Roger Waters & Richard Wright	The Dark Side of the Moon						Rock	16781841	472	1	1	7	10	1973	6/11/26, 7:11 PM	6/11/26, 7:11 PM	256	44100		Apple Music AAC audio file							
Homage	Mild High Club		Skiptracing						Alternative	6597165	177	1	1	2	11	2016	6/9/26, 4:14 PM		256	44100		Apple Music AAC audio file			1	6/10/26, 12:36 PM			
Boubow	Crespi Drum Syndicate	Jonny Trujillo & Pablo Arrangoiz	Colada Talk						Techno	9586575	272	1	1	10	10	2026	6/11/26, 7:11 PM	6/11/26, 7:11 PM	256	44100		Apple Music AAC audio file							
Step Aside	not even noticed		Don't You Dare - EP						Breakbeat	8945598	251	1	1	2	4	2023	6/11/26, 7:11 PM	6/11/26, 7:11 PM	256	44100		Apple Music AAC audio file							
