Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
On the Way	Paul McCartney	Paul McCartney	McCartney II (Archive Collection)						Rock	7841733	220	1	1	3	27	1980	6/3/26, 2:43 PM		256	44100		Apple Music AAC audio file							
Forced & Forced & Forced	Bill Orcutt & Mabe Fratti	Bill Orcutt & Mabe Fratti	Almost Waking						Folk	8574915	244	1	1	3	8	2026	6/3/26, 2:43 PM		256	44100		Apple Music AAC audio file							
Leaves and Sand	The Boo Radleys	The Boo Radleys & Martin Karr	Giant Steps						Pop	9362461	265	1	1	4	17	1993	6/3/26, 2:43 PM		256	44100		Apple Music AAC audio file							
Horses	Slomosa	Benjamin Berdous	Slomosa						Alternative	10375774	297	1	1	1	8	2020	6/3/26, 2:43 PM		256	44100		Apple Music AAC audio file							
Queria Ter Nove	Pedro Mizutani	Pedro Mizutani	Nova Bossa: Aquele Abraço Aos Ratos Vivos						Alternative	5953838	164	1	1	5	11	2026	6/3/26, 2:43 PM		256	44100		Apple Music AAC audio file							
A Song For Jeffrey (2001 Remastered Version)	Jethro Tull	Ian Anderson	50 For 50						Pop	7274894	203	1	3	5	17	1968	6/3/26, 2:43 PM		256	44100		Apple Music AAC audio file							
Perpetual Dawn	The Orb	Eddie Maiden, Alex Paterson & Jeffrey Nelson	The Orb's Adventures Beyond the Ultraworld						Electronic	19524588	572	2	2	1	5	1991	6/3/26, 2:43 PM		256	44100		Apple Music AAC audio file							
Endlessly (feat. BEA1991)	Jump Source, Patrick Holland, Priori & BEA1991	Patrick Holland, Francis Latreille & Beatriz de Rijke	Fold						Electronic	12622989	357	1	1	6	11	2026	6/3/26, 2:43 PM		256	44100		Apple Music AAC audio file							
State of Non-Return	OM		Advaitic Songs						Rock	12677085	365	1	1	2	5	2012	6/3/26, 2:43 PM		256	44100		Apple Music AAC audio file							
My Garden	@	Victoria Rose & Stone Filipczak	Mind Palace Music						Singer/Songwriter	8549771	241	1	1	11	11	2021	6/3/26, 2:43 PM		256	44100		Apple Music AAC audio file							
Steady	Stone	Stone Burletson	Dream Curtain Eternally Gentle						Electronic	11415308	327	1	1	2	9	2025	6/3/26, 2:43 PM		256	44100		Apple Music AAC audio file							
Ego Tripping at the Gates of Hell	The Flaming Lips	Dave Fridmann, Michael Ivins, Steven Drozd & Wayne Coyne	Yoshimi Battles the Pink Robots (20th Anniversary Deluxe Edition)						Alternative	9577139	274	1	1	6	100	2002	6/3/26, 2:43 PM		256	44100		Apple Music AAC audio file							
Ego Tripping at the Gates of Hell (Ego in Acceleration) [Jason Bentley Remix]	The Flaming Lips	Dave Fridmann, Michael Ivins, Steven Drozd & Wayne Coyne	Yoshimi Battles the Pink Robots (20th Anniversary Deluxe Edition)						Alternative	11789251	334	1	1	31	100	2003	6/3/26, 2:43 PM		256	44100		Apple Music AAC audio file							
