Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
The First Song	Built to Spill		Ultimate Alternative Wavers						Rock	8513645	242	1	1	1	10	1993	2/25/25, 1:55 PM		256	44100		Apple Music AAC audio file							
Fire	Waxahatchee		Saint Cloud						Alternative	7772758	217	1	1	3	11	2020	2/25/25, 1:55 PM		256	44100		Apple Music AAC audio file							
Real World	Matchbox Twenty	Matt Serletic & Rob Thomas	Yourself or Someone Like You						Pop	8830571	231	1	1	1	12	1996	2/25/25, 1:55 PM		256	44100		Apple Music AAC audio file							
Freakish	Saves The Day	Bryan Newman, Ted Alexander, Chris Conley, Eben D'Amico & David Soloway	Stay What You Are						Alternative	8807619	227	1	1	6	11	2001	2/25/25, 1:55 PM		256	44100		Apple Music AAC audio file							
I Did Something Weird Last Night	Jeff Rosenstock	Jeff Rosenstock	WORRY.						Alternative	6960669	191	1	1	8	17	2016	2/25/25, 1:55 PM		256	44100		Apple Music AAC audio file							
Rock N Roll McDonald's	Wesley Willis		Greatest Hits						Alternative	5290806	146	1	1	1	22	1969	2/25/25, 1:55 PM		256	44100		Apple Music AAC audio file							
Born On The Bayou	Creedence Clearwater Revival	John Fogerty	Bad Moon Rising: Shadows on the Bayou						Rock	11961480	314	1	1	9	10	1969	2/25/25, 1:55 PM		256	44100		Apple Music AAC audio file			1	4/11/25, 2:19 PM			
One Piece at a Time	Johnny Cash	W. Kemp	The Essential Johnny Cash						Country	9293699	241	2	2	13	18	1976	2/25/25, 1:55 PM		256	44100		Apple Music AAC audio file							
Sundown	Gordon Lightfoot	Gordon Lightfoot	Sundown						Singer/Songwriter	7649900	217	1	1	7	10	1974	2/25/25, 1:55 PM		256	44100		Apple Music AAC audio file							
Isabella of Castile	STRFKR	Josh Hodges	S********r						Alternative	9506730	271	1	1	11	11	2008	12/29/24, 6:13 PM		256	44100		Apple Music AAC audio file			6	3/28/25, 11:42 AM			
Come Outside	Acid Dad	Acid Dad	Acid Dad						Alternative	8476492	239	1	1	5	11	2018	1/1/25, 1:38 PM		256	44100		Apple Music AAC audio file			12	4/28/25, 8:30 AM			
Strangers of Our Time	levitation room	Porte, Martin & Fernandez	Ethos						Rock	5256984	139	1	1	1	10	2016	1/4/25, 11:33 PM		256	44100		Apple Music AAC audio file			7	4/8/25, 3:46 PM			
After Earth	Forming the Void		Relic						Rock	15776169	451	1	1	1	8	2017	2/25/25, 1:55 PM		256	44100		Apple Music AAC audio file			1	4/11/25, 1:57 PM			
Anybody	Porridge Radio	Dana Margolin, Sam Yardley & Georgie Stott	Clouds In The Sky They Will Always Be There For Me						Alternative	8846087	243	1	1	1	10	2024	2/25/25, 1:55 PM		256	44100		Apple Music AAC audio file							
Classic Cars	Bright Eyes		Cassadaga						Alternative	9108948	259	1	1	7	13	2007	2/25/25, 1:55 PM		256	44100		Apple Music AAC audio file							
Love Minus Zero / No Limit	Bob Dylan	Bob Dylan	Bringing It All Back Home						Folk-Rock	6085752	170	1	1	4	11	1965	2/25/25, 1:55 PM		256	44100		Apple Music AAC audio file			1	4/11/25, 2:28 PM			
Light Into Dark	Daniel Avery	Daniel Avery & Mark Ralph	Movement - EP						Dance	12478459	354	1	1	1	4	2012	2/25/25, 1:55 PM		256	44100		Apple Music AAC audio file							
