Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Lookin' Out My Back Door	Creedence Clearwater Revival	John Fogerty	Cosmo's Factory						Rock	5600982	154	1	1	5	11	1970	10/29/25, 2:53 PM	10/29/25, 2:53 PM	256	44100									
No Oath, No Spell	Murder By Death		Bitter Drink, Bitter Moon						Rock	7916188	212	1	1	4	13	2012	10/29/25, 2:53 PM	10/29/25, 2:53 PM	256	44100									
Dig up Her Bones	The Misfits	The Misfits	American Psycho						Hard Rock	6797025	179	1	1	7	17	1997	10/29/25, 2:53 PM	10/29/25, 2:53 PM	256	44100									
Werewolves of London	Warren Zevon		Werewolves of London						Rock	7890962	209	1	1	1	25	1978	10/29/25, 2:53 PM	10/29/25, 2:53 PM	256	44100									
Human Fly	The Cramps	Ivy Rorschach & Lux Interior	Off the Bone						Rock	5204617	136	1	1	1	17	1989	10/29/25, 2:53 PM	10/29/25, 2:53 PM	256	44100									
Bad Apples	Objekt	Objekt	Objekt #5 - Single						Electronic	13592091	392	1	1	1	2	2022	10/29/25, 2:53 PM	10/29/25, 2:53 PM	256	44100									
Mola Mamadjan	Fataneh		Gol Va Atash						Pop	10287909	291	1	1	7	9	2008	10/29/25, 2:53 PM	10/29/25, 2:53 PM	256	44100									
War Pigs	CAKE		Cake: B-Sides and Rarities						Alternative	8755171	234	1	1	1	13	2007	10/29/25, 2:53 PM	10/29/25, 2:53 PM	256	44100									
the chase	They Are Gutting a Body of Water	Douglas Dulgarian, Emily Lofing, PJ Carroll & Benjamin Opatut	LOTTO						Alternative	8206704	205	1	1	1	10	2025	10/29/25, 2:53 PM	10/29/25, 2:53 PM	256	44100									
Dracula's Wedding (feat. Kelis)	Outkast	André Benjamin	Speakerboxxx/The Love Below						Hip-Hop/Rap	5984601	152	2	2	16	21	2003	10/29/25, 2:53 PM	10/29/25, 2:53 PM	256	44100									
Song for Dennis Brown (2025 Remaster)	The Mountain Goats	John Darnielle	The Sunset Tree (2025 Remaster)						Alternative	9253016	238	1	1	11	13	2005	10/29/25, 2:53 PM	10/29/25, 2:53 PM	256	44100									
History Lesson	Lawn	Mac Folger & Rui De Magalhaes	God Made The Highway						Rock	12947744	356	1	1	6	10	2025	10/29/25, 2:53 PM	10/29/25, 2:53 PM	256	44100									
Situation Subterranean	A.Wild	Alfie Wild	Pattern Gardening						House	10385312	275	1	1	17	22	2025	10/29/25, 2:53 PM	10/29/25, 2:53 PM	256	44100									
30000 Megatons	Pond	Jay Watson, Nicholas Allbrook, Joseph Ryan & Jamie Terry	The Weather						Alternative	8636891	242	1	1	1	11	2016	10/21/25, 5:06 PM		256	44100		MPEG-4 audio file			3	10/29/25, 2:47 PM			
Sweep Me Off My Feet	Pond	Jay Watson, Nicholas Allbrook, Joseph Ryan & Jamie Terry	The Weather						Alternative	7442957	209	1	1	2	11	2016	10/21/25, 5:11 PM		256	44100		MPEG-4 audio file			3	10/29/25, 2:43 PM			
Sitting Up On Our Crane	Pond	Jamie Terry, Jay Watson, Joseph Ryan & Nick Allbrook	Man It Feels Like Space Again						Alternative	13830973	360	1	1	6	9	2015	9/4/23, 5:13 PM	9/4/23, 5:13 PM	256	44100		Apple Music AAC audio file			16	10/29/25, 2:53 PM			
