Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Laughing Man	Bill Fay	William Fay	Time of the Last Persecution						Pop	7088114	193	1	1	7	14	1971	2/25/25, 1:53 PM		256	44100		Apple Music AAC audio file							
Adagio for Strings	Sir Simon Rattle & Berlin Philharmonic	Samuel Barber	Barber: Adagio for Strings - Single		Adagio for Strings			Adagio for Strings	Classical	18371090	537	1	1	1	1	2009	2/25/25, 1:53 PM		256	44100		Apple Music AAC audio file							
Los inocentes (2023 Versión remasterizada)	EESCA	Esteban Estrada	EESCA						Goth Rock	6262868	171	1	1	8	12	2021	2/25/25, 1:53 PM		256	44100		Apple Music AAC audio file			1	2/27/25, 12:54 PM			
Fuel	Eminem & JID	Marshall Mathers, Luis Resto, D. Porter, H. LeMon Bey, Thomas Forbes & Destin Route	The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition						Hip-Hop/Rap	7711796	213	1	1	9	23	2024	2/25/25, 1:53 PM		256	44100		Apple Music AAC audio file			1	2/27/25, 12:57 PM			
Stillborn	Iamnoone	Stefano Gatti & Filippo Galleani	A Primitive Trinitas						Metal	7433547	209	1	1	7	10	2020	2/25/25, 1:53 PM		256	44100		Apple Music AAC audio file			1	2/27/25, 1:01 PM			
Jamaica Farewell	Harry Belafonte	Irving Burgie & Burgess	Calypso						Calypso	6512481	185	1	1	3	11	1956	2/25/25, 1:53 PM		256	44100		Apple Music AAC audio file			1	2/27/25, 1:16 PM			
Enola Gay	Orchestral Manoeuvres In the Dark	McCluskey	Organisation						Pop	8014199	213	1	1	1	15	1980	2/25/25, 1:53 PM		256	44100		Apple Music AAC audio file			1	2/27/25, 1:20 PM			
Long Distance Runaround (2024 Remaster)	Yes	Jon Anderson	Fragile (Super Deluxe)						Rock	8578907	210	1	4	6	9	1971	2/25/25, 1:53 PM		256	44100		Apple Music AAC audio file			1	2/27/25, 1:23 PM			
Sadeness (Part I) [Radio Edit]	Enigma	Curly M.C. & F. Gregorian	Sadeness (Part I) - EP						Pop	10140477	260	1	1	1	4	1990	2/25/25, 1:53 PM		256	44100		Apple Music AAC audio file			1	2/27/25, 1:28 PM			
4Am	µ-Ziq	Mike Paradinas	1977						Electronica	8912234	253	1	1	1	15	2023	2/25/25, 1:53 PM		256	44100		Apple Music AAC audio file			1	2/27/25, 1:32 PM			
Gedup (And Move Your Butt)	Sweely	William Montana	Purveyors of the Hypnotic Groove						Electronic	11936163	341	1	1	3	12	2023	2/25/25, 1:53 PM		256	44100		Apple Music AAC audio file			1	2/27/25, 1:38 PM			
2 By 4 (Remastered)	The Fall	Brix Smith & Mark E. Smith	The Wonderful and Frightening World of the Fall						Alternative	8223351	217	1	2	2	9	1984	2/25/25, 1:53 PM		256	44100		Apple Music AAC audio file			2	2/28/25, 11:38 AM			
Living Too Late (Remastered)	The Fall	Mark E. Smith	Bend Sinister / The Domesday Pay-Off Triad -Plus!						Alternative	9465245	274	1	1	11	18	1987	2/25/25, 1:53 PM		256	44100		Apple Music AAC audio file			2	2/28/25, 11:43 AM			
Mr. Pharmacist (Remastered)	The Fall	Jeff Nowlen	Bend Sinister / The Domesday Pay-Off Triad -Plus!						Alternative	5414251	139	1	1	4	18	1987	2/25/25, 1:53 PM		256	44100		Apple Music AAC audio file			2	2/28/25, 11:45 AM			
Rain (triple j Like a Version)	Pond	Marc Hunter,Todd Hunter, Johanna Pigott	Rain (triple j Like a Version) - Single						Alternative	7996689	223	1	1	1	1	2022	2/20/25, 1:59 PM		256	44100		Apple Music AAC audio file			9	4/8/25, 1:10 PM	1	2/21/25, 11:12 AM	
Impossible Germany	Wilco	Jeff Tweedy & Wilco	Sky Blue Sky						Rock	13784622	358	1	1	3	12	2007	2/20/25, 5:02 PM		256	44100		Apple Music AAC audio file			7	2/28/25, 11:55 AM			
Modern Art	Black Lips		Arabia Mountain						Rock	4581184	124	1	1	2	16	2011	1/4/24, 10:58 AM	1/4/24, 10:58 AM	256	44100		Apple Music AAC audio file			27	4/11/25, 1:59 PM			
