Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Bonehead	Frankie & The Witch Fingers	Dylan Sizemore, Josh Menashe, Nikki Pickle & Nicholas Aguilar	i-Candy - Single						Psychedelic	10774483	289	1	1	2	2	2024	4/25/25, 10:59 AM		256	44100		Apple Music AAC audio file							
Pablo and Andrea	Yo La Tengo	Georgia Hubley, Ira Kaplan & James McNew	Electr-O-Pura						Alternative	9670541	256	1	1	6	14	1995	4/25/25, 10:59 AM		256	44100		Apple Music AAC audio file			1	4/25/25, 3:05 PM			
Tickle Your Fancy	Spud	Ken Wilson	Smoking on the Bog						Traditional Celtic	6234415	152	1	1	1	10	1977	4/25/25, 10:59 AM		256	44100		Apple Music AAC audio file							
Cooking Up Something Good	Mac DeMarco		2						Alternative	6313416	161	1	1	1	11	2012	4/25/25, 10:59 AM		256	44100		Apple Music AAC audio file			1	4/25/25, 2:55 PM			
A Tune for Us	Djrum	Felix Manuel	A Tune for Us - Single						Ambient	13209852	353	1	1	1	1	2025	4/25/25, 10:59 AM		256	44100		Apple Music AAC audio file							
In Keeping Secrets of Silent Earth: 3	Coheed and Cambria	Coheed and Cambria	In Keeping Secrets of Silent Earth: 3						Hard Rock	16883860	492	1	1	2	12	2003	4/25/25, 10:59 AM		256	44100		Apple Music AAC audio file							
Gut Feeling	Trip Cigs	Leo Lydon	Hoss - EP						Metal	4365700	106	1	1	6	6	2024	4/25/25, 10:59 AM		256	44100		Apple Music AAC audio file							
Zydeco Boogaloo	Buckwheat Zydeco, Ils Sont Partis Band	Stanley Dural Jr.	Buckwheat's Zydeco Party (Deluxe Edition)						Country	8898428	236	1	1	7	18	1987	4/25/25, 10:59 AM		256	44100		Apple Music AAC audio file							
Roll On	The Twin Atlas		Sun Township						Pop	5908010	162	1	1	1	10	2005	4/18/25, 12:58 PM		256	44100		Apple Music AAC audio file			10	4/28/25, 8:23 AM			
Come Inside	The Twin Atlas		Sun Township						Pop	6968203	197	1	1	5	10	2005	4/18/25, 4:16 PM		256	44100		Apple Music AAC audio file			10	4/28/25, 8:26 AM			
Come Outside	Acid Dad	Acid Dad	Acid Dad						Alternative	8476492	239	1	1	5	11	2018	1/1/25, 1:38 PM		256	44100		Apple Music AAC audio file			12	4/28/25, 8:30 AM			
Spike Island	Pulp	Adam Betts, Andrew McKinney, Candida Doyle, Emma Smith, Jason Buckle, Mark Webber, Nick Banks & Jarvis Cocker	More						Alternative	10271937	282	1	1	1	11	2025	4/25/25, 10:59 AM		256	44100		Apple Music AAC audio file			1	4/28/25, 8:35 AM			
Levantarse	Bambounou	Jeremy Guindo	Levantarse - Single						Dance	13620386	390	1	1	1	2	2025	4/25/25, 10:59 AM		256	44100		Apple Music AAC audio file			2	4/28/25, 8:42 AM			
Defender	Bonobo	Simon Green	Defender - Single						Electronic	13128604	374	1	1	1	1	2022	4/25/25, 10:59 AM		256	44100		Apple Music AAC audio file			1	4/28/25, 8:48 AM			
