Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
What Can I Do for You?	Bob Dylan	Bob Dylan	Saved (Remastered)						Rock	12281937	353	1	1	4	9	1980	7/23/25, 5:12 PM	7/23/25, 5:12 PM	256	44100		Apple Music AAC audio file							
I'll Ask Father Time	Jack Carek	Jack Carek	I'll Ask Father Time - Single						Rock	9808204	272	1	1	1	1	2025	7/23/25, 5:12 PM	7/23/25, 5:12 PM	256	44100		Apple Music AAC audio file							
Vanity Fair	Langkamer	Thomas Kelly, Edward Soles, Daniel Anthony & Joshua Jarman	The Noon And Midnight Manual						Alternative	5379725	142	1	1	9	10	2023	7/23/25, 5:12 PM	7/23/25, 5:12 PM	256	44100		Apple Music AAC audio file							
Future Perfect	The Durutti Column		Fidelity						Rock	11905083	315	1	1	3	11	1996	7/23/25, 5:12 PM	7/23/25, 5:12 PM	256	44100		Apple Music AAC audio file							
Brasilian Skies	Masayoshi Takanaka	Masayoshi Takanaka	Chocolatada con amigos						Jazz	13681402	353	1	1	26	31	1978	7/23/25, 5:12 PM	7/23/25, 5:12 PM	256	44100		Apple Music AAC audio file							
I Couldn't Say It To Your Face	Arthur Russell	Arthur Russell	Love Is Overtaking Me						Singer/Songwriter	5841577	156	1	1	7	21	2008	7/23/25, 5:12 PM	7/23/25, 5:12 PM	256	44100		Apple Music AAC audio file							
The Wizard	Black Sabbath	Black Sabbath, Ozzy Osbourne, Geezer Butler, Tony Iommi & Bill Ward	Black Sabbath						Metal	10401546	262	1	1	2	5	1970	7/23/25, 5:12 PM	7/23/25, 5:12 PM	256	44100		Apple Music AAC audio file							
Mr. Crowley	Ozzy Osbourne	Ozzy Osbourne, Randy Rhoads & Bob Daisley	Blizzard of Ozz (40th Anniversary Expanded Edition)						Metal	11047164	302	1	1	6	19	1980	7/23/25, 5:12 PM	7/23/25, 5:12 PM	256	44100		Apple Music AAC audio file							
Etude from the Encyclopédie du pianiste Compositeur	Mark Viner	Charles-Valentin Alkan	Alkan: 11 Pièces dans le style religieux, Op. 72, Etude alla barbaro		Etude from the Encyclopédie du pianiste Compositeur			Etude from the Encyclopédie du pianiste Compositeur	Classical	8187259	233	1	1	13	13	2022	7/23/25, 5:12 PM	7/23/25, 5:12 PM	256	44100		Apple Music AAC audio file							
No Return	Uncle Acid & The Deadbeats	Kevin Starrs	Wasteland						Metal	18136680	529	1	1	3	8	2018	7/12/25, 6:13 PM		256	44100		Apple Music AAC audio file			3	7/15/25, 11:08 AM			
June Guitar	Alex G	Alex Giannascoli	Headlights						Alternative	9084128	232	1	1	1	12	2025	7/23/25, 5:12 PM	7/23/25, 5:12 PM	256	44100		Apple Music AAC audio file							
Here Today	The Beach Boys	Tony Asher & Brian Wilson	Pet Sounds (50th Anniversary Deluxe Edition)						Rock	7106178	189	1	2	23	26	1997	7/23/25, 5:12 PM	7/23/25, 5:12 PM	256	44100		Apple Music AAC audio file							
R.I.P. Current	Nick León	Nick León	A Tropical Entropy						Electronic	9570051	253	1	1	7	10	2025	7/23/25, 5:12 PM	7/23/25, 5:12 PM	256	44100		Apple Music AAC audio file							
