Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
The King Is Back	Luke Bell	Luke Bell	The King Is Back						Country	6158853	170	1	1	22	28		10/15/25, 4:22 PM	10/15/25, 4:22 PM	256	44100									
Davie	Lawn	Mac Folger & Rui De Magalhaes	God Made The Highway						Rock	8673622	235	1	1	3	10	2025	10/15/25, 4:22 PM	10/15/25, 4:22 PM	256	44100									
Your Smiling Face	James Taylor	James Taylor	JT						Singer/Songwriter	6595421	167	1	1	1	12	1977	10/15/25, 4:22 PM	10/15/25, 4:22 PM	256	44100									
I Got You Babe	Sonny & Cher		The Complete ATCO Albums						Pop	7040192	190	1	1	1	55	1965	10/15/25, 4:22 PM	10/15/25, 4:22 PM	256	44100									
Mamaloi	The Doobie Brothers	Pat Simmons	Toulouse Street (Remastered)						Rock	6076350	150	1	1	3	10	1972	10/15/25, 4:22 PM	10/15/25, 4:22 PM	256	44100									
Nights in Armor	Water From Your Eyes	Nate Amos & Rachel Brown	It's A Beautiful Place						Alternative	6832161	189	1	1	3	10	2025	10/15/25, 4:22 PM	10/15/25, 4:22 PM	256	44100									
Psycho	The Sonics		Here Are the Sonics						Rock	5131948	137	1	1	7	12	1965	10/7/25, 7:32 AM		256	44100									
Good Lovin'	The Young Rascals	Arthur Resnick, Artie Resnick & Rudy Clark	The Young Rascals						Rock	6239109	150	1	1	6	10	1966	10/6/25, 9:55 PM		256	44100		MPEG-4 audio file					1	10/7/25, 2:41 PM	
Wild Thing	The Troggs	Chip Taylor	From Nowhere						Rock	5602868	155	1	1	1	16	1966	10/15/25, 4:22 PM	10/15/25, 4:22 PM	256	44100									
Television Eyes	Trans Am		Futureworld						Rock	11507568	302	1	1	2	10	1999	10/15/25, 4:22 PM	10/15/25, 4:22 PM	256	44100									
Vibracobra	Polvo	Polvo	Cor-Crane Secret						Rock	10241269	287	1	1	1	11	1992	10/15/25, 4:22 PM	10/15/25, 4:22 PM	256	44100									
Rose Tinted World	Full of Hell & Nothing	Domenic Palermo, Doyle Martin, Dylan Walker, David Bland, Samuel DiGristine & Spencer Hazard	When No Birds Sang						Metal	17948934	491	1	1	1	5	2023	10/15/25, 4:22 PM	10/15/25, 4:22 PM	256	44100									
Remain (Remastered 2023)	José González	José González	Veneer (20th Anniversary Deluxe Edition)						Singer/Songwriter	8501666	225	1	2	2	11	2005	10/15/25, 4:22 PM	10/15/25, 4:22 PM	256	44100									
Play	james K	james K, Adam Feingold, Francis Latreille & Patrick Holland	Friend						Electronic	9629977	274	1	1	10	13	2025	10/15/25, 4:22 PM	10/15/25, 4:22 PM	256	44100									
Muted	Akasha System		Vague Response						Electronic	13277175	386	1	1	5	6	2016	10/15/25, 4:22 PM	10/15/25, 4:22 PM	256	44100									
