Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Saturday In the Park	Chicago	Robert Lamm	The Studio Albums 1969-1978, Vol. 1	Chicago V (Expanded Edition)					Rock	8396235	235	4	10	7	13	1972	7/3/25, 9:29 AM	7/3/25, 9:29 AM	256	44100		Apple Music AAC audio file							
Firecracker	Ryan Adams	Ryan Adams	Gold						Pop	6433003	171	1	1	2	16	2001	7/3/25, 9:29 AM	7/3/25, 9:29 AM	256	44100		Apple Music AAC audio file							
On & On & On	Catch 22	Tomas Kalnoky	Keasbey Nights						Rock	7071197	194	1	1	7	14	1998	7/2/24, 12:03 PM		256	44100		Apple Music AAC audio file							
The Way It Is	Bruce Hornsby & The Range	Bruce Hornsby	The Way It Is						Rock	10894500	297	1	1	5	9	1986	7/3/25, 9:29 AM	7/3/25, 9:29 AM	256	44100		Apple Music AAC audio file							
Wild West End	Dire Straits	Mark Knopfler	Dire Straits						Rock	10946363	281	1	1	8	9	1978	7/3/25, 9:29 AM	7/3/25, 9:29 AM	256	44100		Apple Music AAC audio file							
Single-Handed Sailor	Dire Straits	Mark Knopfler	Communique						Pop	10768338	282	1	1	8	9	1979	7/3/25, 9:29 AM	7/3/25, 9:29 AM	256	44100		Apple Music AAC audio file							
Rockin' In the Free World	Neil Young	Neil Young	Freedom						Rock	9936521	281	1	1	12	12	1989	7/3/25, 9:29 AM	7/3/25, 9:29 AM	256	44100		Apple Music AAC audio file							
Can You Play Me a Song?	Skinshape	William Dorey	Another Side Of Skinshape						Psychedelic	7761981	218	1	1	3	10	2024	6/27/25, 10:03 AM		256	44100		Apple Music AAC audio file			2	7/2/25, 8:04 PM			
Animals Are Sleeping	Yo Gabba Gabba & Ty Segall	Jarond Dürer Gibbs	Yo Gabba GabbaLand! (Season 1) [Apple TV+ Original Series Soundtracks]						TV Soundtrack	3891337	100	1	1	4	26	2024	6/28/25, 3:32 PM		256	44100		Apple Music AAC audio file			1	7/2/25, 7:57 PM			
Sister Christian	Night Ranger	Kelly Keagy	Midnight Madness						Hard Rock	10561701	302	1	1	4	9	1983	7/1/25, 11:28 AM		256	44100		Apple Music AAC audio file							
Up Around the Bend	Creedence Clearwater Revival	John Fogerty	Cosmo's Factory						Rock	6417340	162	1	1	7	11	1970	7/3/25, 9:29 AM	7/3/25, 9:29 AM	256	44100		Apple Music AAC audio file							
Fakin' It	Simon & Garfunkel	Paul Simon	Bookends						Singer/Songwriter	7691191	201	1	1	8	12	1967	7/3/25, 9:29 AM	7/3/25, 9:29 AM	256	44100		Apple Music AAC audio file							
The Magician	Andy Shauf	Andy Shauf	The Party						Alternative	8090872	231	1	1	1	10	2016	7/3/25, 9:29 AM	7/3/25, 9:29 AM	256	44100		Apple Music AAC audio file							
