Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
The Word The War	Liam Kazar	Liam Kazar	Pilot Light						Alternative	6865630	189	1	1	3	11	2025		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
Theme for Isaac Kirya	The Boogoos	J. Whitefield	Contemporary Afro Beat						Afro-Beat	7911658	223	1	1	6	12	2011		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
Hot Milk	Rikitik Band	Jackie Mitoo	Supersensation One						Dub	7881834	193	1	1	13	13	2007		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
Headache	Frank Black	Frank Black	Teenager of the Year						Alternative	6441994	172	1	1	7	22	1994		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
Perfect Day	Lou Reed	Lou Reed	Transformer						Rock	8352741	226	1	1	3	11	1972		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
Tender	Blur	Alex James, Damon Albarn, Dave Rowntree & Graham Coxon	13						Rock	16171243	460	1	1	1	13	1998		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
Siempre Pendientes	Peso Pluma & Luis R Conriquez	Roberto Laija	Siempre Pendientes - Single						Música Mexicana	7730799	186	1	1	1	1	2022		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
Unathi (feat. Piya Malik)	El Michels Affair	Leon Michels, Nick Movshon, Homer Steinweiss, Thomas Brenneck & Piya Malik	Yeti Season (Deluxe Version)						R&B/Soul	8581739	213	1	2	1	11	2021		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
Rotten	Mindforce	Mike Shaw	New Lords						Metal	7907313	212	1	1	10	10	2022		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
For My Next Trick I'll Need a Volunteer	Warren Zevon		Life'll Kill Ya						Rock	6903201	193	1	1	4	12	2000		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
The Factory	Warren Zevon	Warren Zevon	Sentimental Hygiene						Rock	5842354	165	1	1	3	10	1987		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
I'm Straight	The Modern Lovers	Jonathan Richman	The Modern Lovers						Rock	9057532	258	1	1	11	17	1980		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
Family Tree	Yo Gabba Gabba & Low	Adam Deibert	Yo Gabba Gabba! Music Is Awesome! (Deluxe Edition)						Children's Music	3855412	96	2	2	14	25	2025		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
Time to Live as One	Low	Philip Balsam & Dennis Lee	Fraggle Rock - Do It on My Own						Pop	6961277	197	1	1	11	20	2013		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
Nowhere Man	Low	John Lennon & Paul McCartney	This Bird Has Flown (A 40th Anniversary Tribute To the Beatles' Rubber Soul)						Rock	5845136	165	1	1	4	14	2005		11/18/25, 5:57 PM	256	44100		Apple Music AAC audio file							
