Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Noonday Demon	Golden Apples	Russell Edling	Shooting Star						Indie Rock	5498693	142	1	1	2	12	2025	10/23/25, 2:15 PM	10/23/25, 2:15 PM	256	44100					1	10/23/25, 2:18 PM			
White Tiles	Girl and Girl	Kai James	A Typical Friday Night (Shame, Sex and Misery) - EP						Indie Rock	6951415	172	1	1	2	5	2021	10/23/25, 2:15 PM	10/23/25, 2:15 PM	256	44100					1	10/23/25, 2:21 PM			
throwing ax	Maneka	Devin McKnight	bathes and listens						Rock	8217717	231	1	1	7	9	2025	10/23/25, 2:15 PM	10/23/25, 2:15 PM	256	44100					1	10/23/25, 2:25 PM			
Walk - Don't Run	The Ventures	John Smith	The Very Best of the Ventures						Pop	4777470	126	1	2	1	25	1960	10/23/25, 2:15 PM	10/23/25, 2:15 PM	256	44100					1	10/23/25, 2:27 PM			
You're Not the Law	The Dead 60's	Ben Gordon, Charlie Turner, Bryan Johnson & Matt McMannaman	The Dead 60s						Rock	6224708	174	1	1	13	13	2004	10/6/25, 9:19 PM		256	44100					2	10/23/25, 2:30 PM	1	10/21/25, 4:59 PM	
An Honest Mistake	The Bravery	Sam Endicott	The Bravery						Rock	7888538	219	1	1	1	11	2005	10/6/25, 9:24 PM		256	44100					1	10/23/25, 2:33 PM			
Regiment	Brian Eno & David Byrne	Brian Eno	My Life In the Bush of Ghosts						Rock	9699301	251	1	1	3	18	1981	10/23/25, 2:15 PM	10/23/25, 2:15 PM	256	44100					1	10/23/25, 2:38 PM			
Dead Man's Party	Oingo Boingo	Danny Elfman	Dead Man's Party						Alternative	14300864	381	1	1	2	9	1985	10/23/25, 2:15 PM	10/23/25, 2:15 PM	256	44100					1	10/23/25, 2:44 PM			
Annabel Lee	Tiger Army	K Nick Jones	II: Power of Moonlite						Alternative	7751257	212	1	1	9	13	2001	10/23/25, 2:15 PM	10/23/25, 2:15 PM	256	44100					1	10/23/25, 2:47 PM			
Wholesale Anthem	Headache & Vegyn	Francis Hornsby Clark & Joseph W Thornalley	Thank You for Almost Everything						Electronic	7451814	207	1	1	2	9	2025	10/23/25, 2:15 PM	10/23/25, 2:15 PM	256	44100					1	10/23/25, 2:51 PM	1	10/23/25, 3:07 PM	
Miffed It	Way Dynamic	Dylan Young	Massive Shoe						Indie Pop	9771681	246	1	1	4	11	2025	10/23/25, 2:15 PM	10/23/25, 2:15 PM	256	44100					1	10/23/25, 2:55 PM			
Halloween	AFI	Danzig	All Hallow's E.P.						Rock	8398809	238	1	1	2	4	1999	10/23/25, 2:15 PM	10/23/25, 2:15 PM	256	44100					1	10/23/25, 2:59 PM			
Mortals	Minor Science	Angus Finlayson	Mortals - Single						Electronic	9585901	273	1	1	1	1	2025	10/23/25, 2:15 PM	10/23/25, 2:15 PM	256	44100									
I Love Acid	Luke Vibert		YosepH						Electronic	9055320	259	1	1	6	13	2003	10/23/25, 2:15 PM	10/23/25, 2:15 PM	256	44100									
