Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Dying Breed	The Killers	Brandon Flowers, Jonathan Rado, Mike Crossey, Alex Cameron, Klaus Dinger, Michael Rother, Michael Karoli, Jaki Liebezeit, Irmin Schmidt, Holger Schuering & Kenji Suzuki	Imploding the Mirage (Deluxe)						Alternative	9346850	246	1	1	3	13	2020	2/20/25, 10:47 AM		256	44100		Apple Music AAC audio file			3	2/21/25, 10:30 AM			
It's a Bit of a Pain	Faust	Rudolf Sosna, Werner Diermaier, Gunther Wüsthoff, Jean-Hervé Peron & Hans Joachim Irmler	Faust IV (Deluxe Edition)						Rock	7691764	188	1	2	7	7	1973	2/20/25, 10:47 AM		256	44100		Apple Music AAC audio file			3	2/21/25, 10:33 AM			
Chickamauga	Uncle Tupelo	Jay Farrar & Jeff Tweedy	Anodyne						Country	7869917	222	1	1	5	12	1993	2/20/25, 10:47 AM		256	44100		Apple Music AAC audio file			3	2/21/25, 10:37 AM			
Nutbush City Limits	Ike & Tina Turner	Tina Turner	Tina!						Pop	6873118	181	1	1	16	18	1973	2/20/25, 10:47 AM		256	44100		Apple Music AAC audio file			3	2/21/25, 10:40 AM			
Gentle	Disq	Isaac DeBroux-Slone, Raina Bock, Shannon Connor & Logan Severson	Gentle (draag me Remix) - Single						Alternative	7503832	207	1	1	2	2	2020	2/20/25, 10:47 AM		256	44100		Apple Music AAC audio file			4	2/22/25, 2:11 PM			
528 Hz Anxiety Relief	Miracle Tones & Solfeggio Healing Frequencies MT	Timo Krantz	528 Hz: Transformation and Miracles (DNA Repair) - EP						Easy Listening	4521560	122	1	1	2	5	2019	2/20/25, 10:47 AM		256	44100		Apple Music AAC audio file			5	2/22/25, 2:13 PM			
Lions, Christians	Bang	Frank Ferrara, Frank Gilcken & Tony Diorio	Bang						Rock	9197126	239	1	1	1	8	1972	2/20/25, 10:47 AM		256	44100		Apple Music AAC audio file			5	2/22/25, 2:17 PM			
Chasin' Ladies	Dust	Kenny Kerner & Richie Wise	Hard Attack/Dust						Rock	8482327	216	1	1	12	17	1972	2/20/25, 10:47 AM		256	44100		Apple Music AAC audio file			4	2/22/25, 2:20 PM			
Ain't Talkin' 'Bout Love	Van Halen	Alex Van Halen, David Lee Roth, Eddie Van Halen & Michael Anthony	Van Halen						Hard Rock	8713437	227	1	1	4	11	1978	2/20/25, 10:47 AM		256	44100		Apple Music AAC audio file			4	2/22/25, 2:24 PM			
Gyasi Went Home	Bedouin Soundclash	Bedouin Soundclash	Sounding a Mosaic						Alternative	5383296	146	1	1	5	15	2004	2/12/25, 12:55 AM		256	44100		Apple Music AAC audio file			8	2/22/25, 2:26 PM			
Brooklyn Police Station	Foxygen		...And Star Power						Alternative	10204767	261	1	1	19	24	2014	2/13/25, 7:57 PM		256	44100		Apple Music AAC audio file			7	2/22/25, 2:31 PM			
Superstarr, Pt. 0	K-OS	K. Brereton, C. Ridenhour, W. Drayton, H. Schocklee, Eric Sadler, R. GRIFFIN & J. Longo	Exit						Hip-Hop/Rap	8934920	291	1	1	14	15	2002	2/14/25, 11:44 AM		256	44100		Apple Music AAC audio file			9	2/22/25, 2:36 PM			
Holy Shit	Father John Misty	Josh Tillman	I Love You, Honeybear						Alternative	8323211	241	1	1	10	11	2015	2/20/25, 10:47 AM		256	44100		Apple Music AAC audio file			5	2/22/25, 2:40 PM			
