Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Grey Hats	The Glands		Double Thriller						Alternative	5042700	125	1	1	4	15	1997	11/6/24, 1:37 PM		256	44100		Apple Music AAC audio file			1	11/7/24, 12:32 PM			
Crashing Through	Friko	Niko Kapetan & Bailey Minzenberger	Where we've been, Where we go from here						Alternative	8503260	223	1	1	3	9	2023	11/6/24, 1:37 PM		256	44100		Apple Music AAC audio file			1	11/7/24, 12:59 PM	1	4/20/25, 3:02 PM	
Tired of Taking It Out On You	Wilco	Jeff Tweedy	Cruel Country						Alternative	8477153	216	1	1	10	21	2022	11/6/24, 1:37 PM		256	44100		Apple Music AAC audio file			1	11/7/24, 1:12 PM			
You Can Go	João Donato	João Donato & Eumir Deodato	Donato Deodato						Jazz	12003998	319	1	1	5	6	1973	10/30/24, 1:59 PM		256	44100		Apple Music AAC audio file			9	4/8/25, 1:02 PM			
Os Grilos	Walter Wanderley	Ray Gilbert, Marcos Valle & Paulo Sergio Kostenbader Valle	Batucada						Pop	10596990	264	1	1	5	12	1967	10/30/24, 1:33 PM		256	44100		Apple Music AAC audio file			7	4/7/25, 2:10 PM			
A Morte De Um Deus De Sal	Marcos Valle	Roberto Menescal & Ronaldo Bôscoli	Samba 'Demais'						Samba	7267301	182	1	1	12	14	1963	10/28/24, 7:36 PM		256	44100		Apple Music AAC audio file			7	4/7/25, 1:53 PM			
P.Y.T. (Pretty Young Thing)	Michael Jackson	James Ingram & Quincy Jones	Thriller						Pop	8423426	238	1	1	8	9	1982	11/6/24, 1:37 PM		256	44100		Apple Music AAC audio file			1	11/7/24, 12:50 PM			
Give Me the Night	George Benson	Rodney Lynn Temperton & Rod Temperton	Give Me the Night						Jazz	10490939	301	1	1	4	10	1980	11/6/24, 1:37 PM		256	44100		Apple Music AAC audio file					1	4/20/25, 3:12 PM	
Cities On Flame With Rock and Roll	Blue Öyster Cult	A. Bouchard & Buck Dharma	Blue Öyster Cult						Hard Rock	8762885	242	1	1	8	10	1972	11/6/24, 1:37 PM		256	44100		Apple Music AAC audio file			1	11/7/24, 12:36 PM			
The House (Instrumental)	John Williams	John Williams	Home Alone (Original Motion Picture Soundtrack) [Anniversary Edition]						Soundtrack	5460685	147	1	1	3	19	1990	11/6/24, 1:37 PM		256	44100		Apple Music AAC audio file			1	11/7/24, 1:04 PM			
M.E.	Gary Numan	Gary Numan	The Pleasure Principle						New Wave	12183810	337	1	1	5	17	1979	11/6/24, 1:37 PM		256	44100		Apple Music AAC audio file			1	11/7/24, 12:42 PM			
Red Tuna	Vromm	Alvaro Martinez Marin	Red Tuna - Single						Electronica	14405780	394	1	1	1	1	2023	11/6/24, 1:37 PM		256	44100		Apple Music AAC audio file			1	11/7/24, 1:19 PM			
Cities	Talking Heads	David Byrne	Fear of Music (Remastered Bonus Track Version)						Rock	9686495	254	1	1	4	15	1979	11/6/24, 1:37 PM		256	44100		Apple Music AAC audio file			1	11/7/24, 1:09 PM			
Your Life	Patrick Holland	Patrick Holland	Your Life/Take It - Remixed - EP						Electronic	10577994	300	1	1	1	4	2024	11/6/24, 1:37 PM		256	44100		Apple Music AAC audio file			1	11/7/24, 12:55 PM			
