Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Sinatra Drive Breakdown	Yo La Tengo	Georgia Hubley, James McNew & Ira Kaplan	This Stupid World						Alternative	15661781	444	1	1	1	9	2023	6/25/24, 9:33 AM		256	44100		Apple Music AAC audio file							
Didn't Understand	Swirlies		What To Do About Them						Alternative	7461432	209	1	1	4	8	1992	6/25/24, 9:33 AM		256	44100		Apple Music AAC audio file					1	4/20/25, 3:04 PM	
Amethyst	Low	Alan Sparhawk	The Invisible Way						Alternative	11091780	320	1	1	2	11	2013	6/25/24, 9:33 AM		256	44100		Apple Music AAC audio file					1	4/20/25, 2:48 PM	
Apeman (2020 Stereo Remaster)	The Kinks	Raymond Douglas Davies	Lola Versus Powerman and the Moneygoround, Pt. 1						Rock	9333370	233	1	1	11	12	1970	6/25/24, 9:33 AM		256	44100		Apple Music AAC audio file			3	4/8/25, 2:55 PM			
Wild Horses	The Rolling Stones	Mick Jagger & Keith Richards	Hot Rocks 1964-1971						Rock	13035090	343	2	2	9	9	1971	6/25/24, 9:33 AM		256	44100		Apple Music AAC audio file			4	4/8/25, 2:36 PM			
Hell	King Gizzard & The Lizard Wizard		Infest the Rats' Nest						Rock	8078278	219	1	1	9	9	2019	4/20/22, 12:38 PM	10/6/22, 7:55 PM	256	44100		Apple Music AAC audio file			28	12/16/24, 11:05 AM			
Watermelon Woman (Dub)	Yu Su	Yu Su	Watermelon Woman - Single						Electronic	8906534	255	1	1	2	4	2019	6/25/24, 9:37 AM		256	44100		Apple Music AAC audio file							
Seven	Koreless	Lewis Roberts	Seven - Single						Electronic	12508104	355	1	1	1	1	2024	6/25/24, 9:34 AM		256	44100		Apple Music AAC audio file							
Drone Logic	Daniel Avery	Daniel Avery & James Greenwood	Drone Logic						Techno	15174253	429	1	1	3	12	2013	6/25/24, 9:34 AM		256	44100		Apple Music AAC audio file					1	4/20/25, 3:06 PM	
When I Go Deaf	Have A Nice Life		When I Go Deaf - Single						Rock	17244668	494	1	1	1	1	2024	6/25/24, 9:34 AM		256	44100		Apple Music AAC audio file							
Proton Lander	Spaceslug	Bartosz Janik, Jan Rutka & Kamil Ziółkowski	Lemanis						Rock	17324236	464	1	1	1	7	2016	6/25/24, 9:34 AM		256	44100		Apple Music AAC audio file							
Mothership	Howling Giant	Howling Giant	Black Hole Space Wizard, Pt. 1 - EP						Metal	10150427	291	1	1	1	4	2016	6/25/24, 9:35 AM		256	44100		Apple Music AAC audio file							
Roses Are Falling	Orville Peck	Orville Peck	Pony						Alternative	6590263	185	1	1	9	12	2019	6/25/24, 9:35 AM		256	44100		Apple Music AAC audio file							
Random Rules	Silver Jews		American Water						Alternative	8311780	238	1	1	1	12	1998	6/25/24, 9:35 AM		256	44100		Apple Music AAC audio file							
Ultraviolet Freqs	Guy Contact		Ultraviolet Freqs - EP						Dance	10309743	297	1	1	2	4	2022	6/25/24, 9:35 AM		256	44100		Apple Music AAC audio file							
