Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Where Did You Go Wrong, My Love (feat. Nels Cline)	The Good Ones	Adrien Kazigra	Rwanda, You Should Be Loved						Worldwide	9691201	277	1	1	4	12	2019	7/2/24, 12:04 PM		256	44100		Apple Music AAC audio file							
Chi Cacoan	Nels Cline		Destroy All Nels Cline						Rock	14565989	388	1	1	2	9	2001	7/2/24, 12:04 PM		256	44100		Apple Music AAC audio file							
Love Is Everywhere (Beware)	Wilco	N/A	Ode to Joy						Rock	7743908	213	1	1	9	11	2019	7/2/24, 12:04 PM		256	44100		Apple Music AAC audio file							
No Comprende	Low	Alan Sparhawk & Steve Garrington	Ones and Sixes						Alternative	10357086	299	1	1	2	12	2015	7/2/24, 12:05 PM		256	44100		Apple Music AAC audio file							
All the Time	JJUUJJUU	Phil Pirrone	All the Time - Single						Rock	6293246	172	1	1	1	1	2023	6/20/24, 10:30 PM		256	44100		Apple Music AAC audio file			6	4/8/25, 3:44 PM			
House of the Rising Sun	The Animals	Alan Price	The Animals (Bonus Track)						Pop	10005726	271	1	1	1	13	1964	7/2/24, 12:05 PM		256	44100		Apple Music AAC audio file			4	4/8/25, 3:36 PM			
Cia	Christian Bland & The Revelators		Pig Boat Blues						Rock	4702459	125	1	1	10	16	2012	6/20/24, 11:47 PM		256	44100		Apple Music AAC audio file			4	2/25/25, 9:22 PM			
Celebrate with Port!	mega cat	Aaron Benson, Kim West & Ryan Devlin	mega cat						Alternative	7805931	217	1	1	3	9	2024	7/2/24, 12:05 PM		256	44100		Apple Music AAC audio file							
There's No Home For You Here	The White Stripes	Jack White	Elephant						Rock	7889034	223	1	1	3	14	2003	7/2/24, 12:05 PM		256	44100		Apple Music AAC audio file							
Joy	Swain	Noam J. Cohen, Boris Brouwer & Steffen Leppin	Joy - Single						Alternative	8675145	225	1	1	1	1	2024	7/2/24, 12:05 PM		256	44100		Apple Music AAC audio file							
Anyone Can Play Guitar	Midwife		Forever						Rock	8868083	244	1	1	2	5	2020	7/2/24, 12:05 PM		256	44100		Apple Music AAC audio file							
Blind	Swans	Michael Gira	White Light from the Mouth of Infinity						Alternative	9703424	271	1	1	10	13	1991	7/2/24, 12:06 PM		256	44100		Apple Music AAC audio file					1	4/20/25, 2:54 PM	
Godstar	Psychic TV		Allegory & Self						Alternative	7883431	218	1	1	1	11	1988	7/2/24, 12:05 PM		256	44100		Apple Music AAC audio file					1	4/20/25, 3:13 PM	
Foreign	James Blake	James Blake	CMYK 002 - EP						Dance	11337279	322	1	1	4	4	2024	7/2/24, 12:05 PM		256	44100		Apple Music AAC audio file							
Temporary View (feat. Sampha)	SBTRKT	Aaron Jerome Foulds	Wonder Where We Land						Electronic	7394560	206	1	1	8	13	2014	7/2/24, 12:06 PM		256	44100		Apple Music AAC audio file							
