Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
To Kingdom Come (Remastered 2000)	The Band	Robbie Robertson	Music From Big Pink (Remastered 2000)						Rock	8259641	198	1	1	2	11	1968	10/31/24, 1:45 PM		256	44100		Apple Music AAC audio file			1	11/1/24, 1:39 PM			
Satan, Your Kingdom Must Come Down	Frank Proffitt	Traditional	High Atmosphere: Ballads and Banjo Tunes From Virginia and North Carolina						Alternative Folk	4160039	111	1	1	7	33	1975	10/31/24, 1:45 PM		256	44100		Apple Music AAC audio file			1	11/1/24, 1:56 PM			
Be Thou My Vision	Pedro the Lion	Bazan David Shannon	The Only Reason I Feel Secure (Remastered)						Alternative	7493748	220	1	1	5	8	1999	10/31/24, 1:45 PM		256	44100		Apple Music AAC audio file			1	11/1/24, 1:54 PM			
Dear Hearts	The Murder City Devils	The Murder City Devils	Empty Bottles, Broken Hearts						Alternative	7290254	200	1	1	7	12	1998	10/31/24, 1:45 PM		256	44100		Apple Music AAC audio file					1	4/20/25, 3:03 PM	
Traditions	Dawn Richard & Spencer Zahn	Spencer Zahn	Quiet in a World Full of Noise						Ambient	7837212	201	1	1	3	12	2024	10/31/24, 1:45 PM		256	44100		Apple Music AAC audio file			1	11/1/24, 1:43 PM			
Mirror	Two Shell	Vanessa Amara & Two Shell	Two Shell						Electronic	14994555	419	1	1	14	14	2024	10/31/24, 1:45 PM		256	44100		Apple Music AAC audio file			1	11/1/24, 2:15 PM			
My Wandering Days Are Over	Belle and Sebastian	Belle and Sebastian	Tigermilk						Alternative	12514232	325	1	1	8	10	1996	10/31/24, 1:45 PM		256	44100		Apple Music AAC audio file			1	11/1/24, 2:06 PM			
Satin In a Coffin	Modest Mouse	Isaac Brock, Eric Judy, Dann Gallucci & Tom Peloso	Good News for People Who Love Bad News						Alternative	5711698	155	1	1	11	16	2004	10/31/24, 1:45 PM		256	44100		Apple Music AAC audio file							
Teachers	Daft Punk	Guy-Manuel de Homem-Christo & Thomas Bangalter	Homework (25th Anniversary Edition)						Dance	7070859	173	1	2	9	16	1997	10/31/24, 1:45 PM		256	44100		Apple Music AAC audio file							
Nobody Tries That Hard Anymore	Songs: Ohia & Jason Molina	Jason Molina	Live: Vanquishers						Alternative	16533851	477	1	1	1	12	2024	10/31/24, 1:45 PM		256	44100		Apple Music AAC audio file			1	11/1/24, 1:51 PM			
A Horse With No Name	America	Dewey Bunnell	The Complete WB Collection 1971-1977	America					Rock	9612516	252	1	7	5	12	1971	10/31/24, 1:45 PM		256	44100		Apple Music AAC audio file			1	11/1/24, 2:00 PM			
Shanghai Noodle Factory	Traffic	Jim Capaldi, Steve Winwood & Chris Wood	Traffic						Rock	11801915	303	1	1	15	15	1968	10/31/24, 1:45 PM		256	44100		Apple Music AAC audio file							
Little Boat	João Donato	Roberto Menescal & Ronald Boscoli	The New Sound of Brazil						Latin Jazz	6121683	148	1	1	3	12	1965	10/27/24, 4:50 PM		256	44100		Apple Music AAC audio file			10	4/20/25, 3:20 PM	2	4/7/25, 3:13 PM	
Blue Changa	João Donato	João Donato	A Bossa Muito Moderna						MPB	5632248	135	1	1	3	11	1965	10/27/24, 8:57 AM	10/27/24, 8:57 AM	256	44100		Apple Music AAC audio file			17	3/9/25, 4:57 PM	2	3/13/25, 7:41 PM	
Surfboard	Roberto Menescal	Antônio Carlos Jobim	Soul Beat Brazil (The New Rhythms of Menescal)						Brazilian	4668596	128	1	1	7	12	1966	10/24/24, 5:42 PM		256	44100		Apple Music AAC audio file			9	4/7/25, 2:18 PM	1	10/28/24, 4:34 PM	
Samba de Orféu	Luis Bonfa & Toots Thielemans	Luiz Bonfá, Antonio Maria & Andre Michel Salvet	The Brasil Project, Vol. 2						Brazilian	7752822	216	1	1	13	13	1992	10/27/24, 4:58 PM	10/28/24, 9:08 AM	256	44100		Apple Music AAC audio file			18	4/7/25, 2:14 PM	1	10/28/24, 5:16 PM	
