Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Is It for Me	Toad the Wet Sprocket	G. Phillips, T. NICHOLS, R. GUSS & D. DINNING	Fear						Alternative	7287481	204	1	1	2	12	1991	4/2/24, 9:41 PM		256	44100		Apple Music AAC audio file			1	4/19/24, 9:41 PM			
Nanci	Toad the Wet Sprocket	Glen Phillips & Toad	Dulcinea						Alternative	6672682	176	1	1	8	12	1994	4/2/24, 9:41 PM		256	44100		Apple Music AAC audio file			1	4/19/24, 5:11 PM			
Lost Horizons	Gin Blossoms	Doug Hopkins	New Miserable Experience						Alternative	7405156	200	1	1	1	12	1992	4/2/24, 9:41 PM		256	44100		Apple Music AAC audio file							
Sea	Low	Alan Sparhawk, Mimi Parker & John Nichols	I Could Live In Hope						Indie Rock	3989098	108	1	1	7	11	1994	4/2/24, 9:41 PM		256	44100		Apple Music AAC audio file			1	4/19/24, 5:13 PM			
Once In a Lifetime	Talking Heads	Brian Eno, Chris Frantz, David Byrne, Jerry Harrison & Tina Weymouth	Remain In Light (Deluxe Version)						Alternative	9124161	259	1	1	4	12	1980	3/29/24, 11:55 PM	5/11/24, 9:09 PM	256	44100		Apple Music AAC audio file			18	4/8/25, 12:13 PM	2	7/29/24, 9:28 AM	
For My Ladies (feat. Rocco Palladino & Charlie Stacey)	Yussef Dayes	Rocco Palladino, Charlie Stacey & Yussef Kwame Dayes	Duality (feat. Rocco Palladino & Charlie Stacey) - Single						Jazz	11741418	341	1	1	1	2	2019	4/2/24, 9:55 AM		256	44100		Apple Music AAC audio file			4	9/19/24, 10:45 PM	1	4/2/24, 11:03 AM	
Dead Alive	Stonefield	Amy Findlay, Hannah Findlay, Sarah Findlay & Holly Findlay	BENT						Alternative	7077922	200	1	1	3	10	2019	4/2/24, 9:42 PM		256	44100		Apple Music AAC audio file			4	2/25/25, 5:31 PM			
Magma	Fatso Jetson		Toasted						Alternative	12317252	361	1	1	2	9	2001	4/2/24, 9:42 PM		256	44100		Apple Music AAC audio file			3	4/19/24, 3:20 PM			
Supa Scoopa and Mighty Scoop	Kyuss	Brant Bjork & Joshua Homme	Welcome to Sky Valley						Hard Rock	12376717	356	1	1	3	10	1994	4/2/24, 9:42 PM		256	44100		Apple Music AAC audio file			3	4/19/24, 8:45 PM			
Noses in Roses, Forever	Desert Sessions	Matt Sweeney & Joshua Homme	Vols. 11 & 12						Alternative	11599310	333	1	1	2	8	2019	4/2/24, 9:42 PM		256	44100		Apple Music AAC audio file			2	4/5/24, 1:15 PM			
Believe E.S.P.	Deerhoof	Deerhoof, John Dieterich, Satomi Matsuzaki & Greg Saunier	Friend Opportunity						Alternative	7224651	187	1	1	4	11	2006	4/2/24, 9:43 PM		256	44100		Apple Music AAC audio file			2	4/5/24, 1:18 PM			
Milk Man	Deerhoof	Deerhoof, Chris Cohen, John Dieterich, Satomi Matsuzaki & Greg Saunier	Milk Man						Alternative	9972549	263	1	1	1	11	2004	4/2/24, 9:43 PM		256	44100		Apple Music AAC audio file			3	4/23/24, 1:20 PM			
First Girl I Loved	John Hartford	John Hartford	Aereo-Plain						Singer/Songwriter	10149662	275	1	1	6	16	1971	4/2/24, 9:43 PM		256	44100		Apple Music AAC audio file			4	4/19/24, 5:52 PM	2	4/20/25, 3:11 PM	
This Is the One (Remastered 2009)	The Stone Roses	John Squire & Ian Brown	The Stone Roses						Alternative	10699609	299	1	1	10	12	1989	4/2/24, 9:43 PM		256	44100		Apple Music AAC audio file			3	4/5/24, 1:32 PM			
She Bangs the Drums (Remastered 2009)	The Stone Roses	John Squire & Ian Brown	The Stone Roses						Alternative	9082467	232	1	1	2	12	1989	4/2/24, 9:43 PM		256	44100		Apple Music AAC audio file			4	4/19/24, 8:12 PM			
Kosmische Conga	Space Dimension Controller	Jack Hamill	Acid Sampler 1.5 - EP						Dance	8144920	226	1	1	1	4	2024	4/2/24, 9:44 PM		256	44100		Apple Music AAC audio file			5	4/19/24, 4:57 PM			
Some Girls Are Bigger Than Others	The Smiths	Johnny Marr & Morrissey	The Queen Is Dead						Alternative	7199963	197	1	1	10	10	1986	4/2/24, 9:45 PM		256	44100		Apple Music AAC audio file			4	4/5/24, 1:43 PM			
