Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Love Has Brought Me Around	James Taylor	James Taylor	The Warner Bros. Albums: 1970-1976						Singer/Songwriter	6304573	164	2	6	1	13	1971	3/12/24, 11:07 PM		256	44100		Apple Music AAC audio file			4	8/29/24, 9:16 AM	1	3/13/24, 11:13 PM	
So Many Times	Stephen Stills	Stephen Stills	Down the Road						Rock	8306999	211	1	1	4	10	1973	3/12/24, 11:05 PM		256	44100		Apple Music AAC audio file			3	4/19/24, 3:39 PM			
Suite: Judy Blue Eyes	Crosby, Stills & Nash	Stephen Stills	Crosby, Stills & Nash						Rock	16540066	443	1	1	1	10	1969	3/12/24, 11:08 PM		256	44100		Apple Music AAC audio file			2	8/29/24, 9:06 AM	1	3/13/24, 11:21 PM	
Si o No	L'Eclair	Stefan Lilov, Yavor Lilov, Sébastien Bui, Elie Gherisnu & Alain Sandri	Polymood						Fusion	10270803	271	1	1	7	8	2018	3/12/24, 11:08 PM		256	44100		Apple Music AAC audio file			5	4/8/25, 1:06 PM			
Stone by Stone	Ikebe Shakedown	Nadav Nirenberg	Stone by Stone						Afro-Beat	7453594	208	1	1	2	10	2014	3/12/24, 11:06 PM		256	44100		Apple Music AAC audio file			5	3/28/25, 12:14 PM			
The Lawsuit	Karate Boogaloo	C. Riley, D. Thor, H. Jenkins & H. Whitlock	Carn the Boogers						Funk	12469251	348	1	1	5	12	2020	3/12/24, 11:06 PM		256	44100		Apple Music AAC audio file			6	2/25/25, 3:50 PM			
Geek Down	J Dilla	James Dewitt Yancey	Donuts						Hip-Hop/Rap	3472814	79	1	1	20	31	2006	3/12/24, 11:06 PM		256	44100		Apple Music AAC audio file			3	4/19/24, 9:08 PM			
Last Donut of the Night	J Dilla	James Dewitt Yancey	Donuts						Hip-Hop/Rap	4014906	99	1	1	30	31	2006	3/12/24, 11:06 PM		256	44100		Apple Music AAC audio file			3	4/19/24, 8:08 PM			
One4jax	Dibia$E		Baker's Dozen						Hip-Hop/Rap	7173345	200	1	1	1	13	2016	3/12/24, 11:06 PM		256	44100		Apple Music AAC audio file			3	4/19/24, 8:39 PM			
Don't Leave the Light on, Baby	Belle and Sebastian	Stuart Murdoch, Belle and Sebastian & Chris Geddes	Fold Your Hands Child, You Walk Like a Peasant						Indie Rock	10521605	281	1	1	5	11	2000	3/12/24, 11:06 PM		256	44100		Apple Music AAC audio file			2	4/19/24, 3:51 PM	1	3/13/24, 11:11 PM	
On My Own (2019 remaster)	Ulrich Schnauss	Ulrich Schnauss	A Strangely Isolated Place						Electronic	14545325	399	1	1	2	8	2003	3/12/24, 11:06 PM		256	44100		Apple Music AAC audio file			2	4/19/24, 9:55 PM			
Trying Too Clever (Djrum Remix)	Jack Herer	Jack Herer	Trying Too Clever (Djrum Remix) - Single						Jazz	11906864	335	1	1	1	1	2021	3/12/24, 11:06 PM		256	44100		Apple Music AAC audio file			1	3/13/24, 12:48 PM			
Biking (Solo)	Frank Ocean	Frank Ocean	Biking (Solo) - Single						Pop	7527861	212	1	1	1	1	2017	3/12/24, 11:06 PM		256	44100		Apple Music AAC audio file			3	4/19/24, 8:56 PM	1	3/13/24, 11:15 PM	
John My Beloved	Sufjan Stevens		Carrie & Lowell						Singer/Songwriter	10616916	304	1	1	9	11	2015	3/12/24, 11:06 PM		256	44100		Apple Music AAC audio file			1	3/13/24, 12:57 PM			
Dry Mouth	Jump Source, Patrick Holland & Priori		Js04 - Single						Electronic	12894380	371	1	1	2	3	2024	3/12/24, 11:06 PM		256	44100		Apple Music AAC audio file			2	3/14/24, 11:00 AM			
