Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Something's Turning Over	Low	Parker, Sparhawk, Mimi Parker & Alan Sparhawk	C'mon						Alternative	7640668	199	1	1	10	10	2011	6/12/24, 4:14 PM		256	44100		Apple Music AAC audio file			1	6/12/24, 5:12 PM			
Mull of Kintyre	Paul McCartney & Wings	Paul McCartney & Denny Laine	Wings Greatest						Rock	10369759	286	1	1	12	12	1978	6/12/24, 4:14 PM		256	44100		Apple Music AAC audio file			2	6/12/24, 5:40 PM			
Valentine Card	Unwound		Fake Train						Alternative	7989721	205	1	1	4	12	1993	6/12/24, 4:15 PM		256	44100		Apple Music AAC audio file			1	6/12/24, 5:06 PM			
Everything's Ruined	Faith No More	Billy Gould, James Martin, Mike Bordin, Mike Patton & Roddy Bottum	Angel Dust						Hard Rock	9694492	273	1	1	6	14	1992	6/12/24, 4:15 PM		256	44100		Apple Music AAC audio file			1	6/12/24, 4:47 PM			
Baltimore to Fair Play	The KLF & The Justified Ancients of Mu Mu	Bill Drummond & Jimmy Cauty	Come Down Dawn						Electronic	16816663	464	1	1	4	12	2021	6/12/24, 4:15 PM		256	44100		Apple Music AAC audio file			1	6/12/24, 4:42 PM			
Heard It in a Love Song	The Marshall Tucker Band	Toy Caldwell	Carolina Dreams						Rock	11295729	297	1	1	2	8	1977	6/4/24, 12:43 PM		256	44100		Apple Music AAC audio file			8	4/8/25, 3:41 PM			
Research Chemicals	Viagra Boys	Sebastian Murphy, Henrick Höckert, Tor Sjödén, Oscar Carls, Benjamin Vallé & Martin Ehrencrona	Consistency of Energy - EP						Alternative	12991595	379	1	1	1	4	2016	6/8/24, 8:30 PM		256	44100		Apple Music AAC audio file			7	4/8/25, 12:39 PM	1	6/11/24, 1:05 PM	
Comfort Zone	The Murlocs	The Murlocs	Manic Candid Episode						Alternative	8388347	239	1	1	5	11	2019	6/8/24, 9:00 PM		256	44100		Apple Music AAC audio file			9	12/2/24, 12:55 PM			
El Humo De Mi Gallo	Banda Los Sebastianes De Saúl Plata & Edgardo Nuñez	Horacio Palencia & Diego Boleta	El Humo De Mi Gallo - Single						Música Mexicana	5521779	144	1	1	1	1	2024	6/12/24, 4:15 PM		256	44100		Apple Music AAC audio file			1	6/12/24, 5:08 PM			
Kimdracula	Deftones	Abe Cunningham, Chi Cheng, Chino Moreno, Frank Delgado & Stephen Carpenter	Saturday Night Wrist (Bonus Track Version)						Hard Rock	7495184	194	1	1	11	13	2006	6/12/24, 4:15 PM		256	44100		Apple Music AAC audio file			1	6/12/24, 4:50 PM			
Shadows & Light (feat. Chelsea Wolfe & Chino Moreno)	Saudade	Chelsea Wolfe & Chuck Doom	Shadows & Light (feat. Chelsea Wolfe & Chino Moreno) - Single						Rock	9447270	259	1	1	1	1	2019	6/12/24, 4:15 PM		256	44100		Apple Music AAC audio file			1	6/12/24, 4:24 PM			
From the Edge of the Deep Green Sea	The Cure	Boris Williams, Perry Bamonte, Porl Thompson, Robert Smith & Simon Gallup	Wish						Alternative	16804128	460	1	1	4	12	1992	6/12/24, 4:15 PM		256	44100		Apple Music AAC audio file			1	6/12/24, 4:32 PM			
B2b	Charli xcx	Alexander Guy Cook, Charlotte Aitchison, Mike Levy & Omer Fedi	BRAT						Dance	6485608	178	1	1	12	15	2024	6/12/24, 4:15 PM		256	44100		Apple Music AAC audio file			1	6/12/24, 4:35 PM			
Da'an	L'Amour Fou	Benoit Bouquin, David Moufang & Marco Wollenberg	Smallville Ways - Ten Years						House	12199785	354	1	1	5	16	2015	6/12/24, 4:15 PM		256	44100		Apple Music AAC audio file			1	6/12/24, 4:56 PM	1	4/20/25, 3:03 PM	
