Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Monkey	Low	Mimi Parker, Zak Micheletti & George Alan Sparhawk	The Great Destroyer						Alternative	10267987	259	1	1	1	13	2004	5/28/24, 8:23 PM		256	44100		Apple Music AAC audio file			1	5/28/24, 8:31 PM			
Underway	Fleetwood Mac	Peter Green	Then Play On (Expanded Edition)						Rock	7022423	185	1	1	6	18	1969	5/28/24, 8:24 PM		256	44100		Apple Music AAC audio file			1	5/28/24, 8:34 PM			
When I Go Deaf	Low	Mimi Parker, Zak Micheletti & George Alan Sparhawk	The Great Destroyer						Alternative	10274408	281	1	1	9	13	2005	5/28/24, 8:24 PM		256	44100		Apple Music AAC audio file			1	5/28/24, 8:39 PM			
Plant (feat. Mabe Fratti)	Efterklang	Casper Clausen, Mads Brauer, Rasmus Stolberg, Rune Mølgaard & Tatu Ronkko	Things We Have in Common						Alternative	8419823	229	1	1	2	7	2024	5/28/24, 8:24 PM		256	44100		Apple Music AAC audio file			1	5/28/24, 8:42 PM			
Babylon	Oneohtrix Point Never		Age Of						Electronic	6566458	184	1	1	2	13	2018	5/28/24, 8:25 PM		256	44100		Apple Music AAC audio file			1	5/28/24, 8:46 PM			
Lost	Actress		Splazsh						Electronic	12639413	368	1	1	2	14	2010	5/28/24, 8:25 PM		256	44100		Apple Music AAC audio file			1	5/28/24, 8:52 PM			
The World’s Biggest Paving Slab	English Teacher	Lily Fontaine	The World’s Biggest Paving Slab - Single						Alternative	6878614	185	1	1	1	1	2023	5/28/24, 8:25 PM		256	44100		Apple Music AAC audio file			2	5/29/24, 10:39 AM			
What Has Happened	Tonstartssbandht	Andrew White & Edwin White	Petunia						Alternative	14689043	422	1	1	3	9	2021	5/28/24, 8:25 PM		256	44100		Apple Music AAC audio file			1	5/29/24, 10:46 AM			
The River (Live At Red Rocks '22)	King Gizzard & The Lizard Wizard		Live At Red Rocks '22							248280279	1152			12		2023	9/5/23, 4:39 PM	9/5/23, 10:51 AM	2304	48000		MPEG-4 audio file		Visit https://kinggizzard.bandcamp.com	9	4/22/25, 8:32 AM			
Please Do Not Go	Violent Femmes	Gordon Gano	Violent Femmes						Alternative	8983480	255	1	1	3	12	1983	5/28/24, 8:26 PM		256	44100		Apple Music AAC audio file							
Controversy	Prince	Prince	Controversy						R&B/Soul	15202140	435	1	1	1	8	1981	5/28/24, 8:26 PM		256	44100		Apple Music AAC audio file							
That's Why I Love You Like I Do	Roger Miller	Roger Miller	Roger And Out						Country	5463768	128	1	1	10	12	1964	5/28/24, 8:26 PM		256	44100		Apple Music AAC audio file							
Waiting Around to Die	Townes Van Zandt	Not Documented	Townes Van Zandt						Country	6741163	165	1	1	3	10	1968	5/28/24, 8:26 PM		256	44100		Apple Music AAC audio file							
Defenestration Song	Have A Nice Life		The Unnatural World						Rock	12972197	362	1	1	2	8	2014	5/28/24, 8:27 PM		256	44100		Apple Music AAC audio file					1	4/20/25, 3:04 PM	
It's a Cold Night For Alligators	Roky Erickson		The Evil One						Rock	6805325	181	1	1	4	15	1981	5/28/24, 8:27 PM		256	44100		Apple Music AAC audio file							
