Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Always Trying to Work It Out	Low	Alan Sparhawk	Double Negative						Alternative	8625262	235	1	1	6	10	2018	8/15/23, 5:27 PM		256	44100		Apple Music AAC audio file			1	8/17/23, 2:28 PM			
Wishful Thinking	Wilco	Glenn Kotche & Jeff Tweedy	A Ghost Is Born						Rock	9830253	278	1	1	7	12	2004	8/15/23, 5:27 PM		256	44100		Apple Music AAC audio file			1	8/17/23, 2:44 PM			
Not Quite Happiness	Good Old War		Come Back As Rain (Deluxe Version)						Singer/Songwriter	6423749	170	1	1	6	15	2012	8/15/23, 5:27 PM		256	44100		Apple Music AAC audio file			1	8/17/23, 2:54 PM			
Spanish Bombs (Remastered)	The Clash	Joe Strummer, Mick Jones, Paul Simonon & Topper Headon	Sound System	London Calling					Punk	7506899	198	3	11	6	19	1979	8/15/23, 5:27 PM		256	44100		Apple Music AAC audio file			1	8/17/23, 2:48 PM			
…And the Battle Begun	RX Bandits		…And the Battle Begun						Alternative	10722476	296	1	1	2	13	2006	8/15/23, 5:27 PM		256	44100		Apple Music AAC audio file							
Alone Together	Mr. Elevator		Goodbye, Blue Sky						Alternative	8725677	218	1	1	3	10	2020	8/15/23, 10:22 AM	8/15/23, 10:22 AM	256	44100		Apple Music AAC audio file			66	4/24/25, 5:59 PM			
Ideas	Tibetan Miracle Seeds	Jack McAfee	Inca Missiles						Rock	12073244	348	1	1	1	11	2020	8/15/23, 10:51 AM	8/15/23, 10:51 AM	256	44100		Apple Music AAC audio file			14	2/25/25, 1:20 PM	1	5/11/24, 9:10 PM	
Keep It to Yourself	Kacey Musgraves	Kacey Musgraves, Luke Laird & Shane McAnally	Same Trailer Different Park						Country	7226425	197	1	1	9	12	2013	8/10/23, 7:15 PM	8/10/23, 7:15 PM	256	44100		Apple Music AAC audio file			17	2/25/25, 1:28 PM	5	12/31/24, 6:38 PM	
I Been Young	George Clanton	George Clanton	Ooh Rap I Ya						Pop	10607976	299	1	1	4	9	2023	8/15/23, 5:28 PM		256	44100		Apple Music AAC audio file			8	3/22/25, 7:29 PM			
Sunshine on My Shoulders ('Greatest Hits' Version)	John Denver	John Denver, Dick Kniss & Mike Taylor	John Denver's Greatest Hits						Pop	11648656	314	1	1	8	11	1973	8/15/23, 5:28 PM		256	44100		Apple Music AAC audio file			1	5/2/24, 2:11 PM			
Mission	Alex G	Alex Giannascoli	God Save the Animals						Alternative	6633977	185	1	1	3	13	2022	8/15/23, 5:28 PM		256	44100		Apple Music AAC audio file							
Easy on Your Own?	Alvvays		Blue Rev						Alternative	6732627	174	1	1	2	14	2022	8/15/23, 5:28 PM		256	44100		Apple Music AAC audio file			1	8/17/23, 2:36 PM			
Dragon Slayer	Animal Collective	Animal Collective	Time Skiffs						Alternative	8311473	236	1	1	1	9	2022	8/15/23, 5:28 PM		256	44100		Apple Music AAC audio file			1	8/17/23, 2:52 PM			
Welcome to My Island	Caroline Polachek	Caroline Polachek, Daniel Nigro & Jim-E Stack	Desire, I Want to Turn Into You						Indie Pop	8339162	232	1	1	1	11	2022	8/15/23, 5:28 PM		256	44100		Apple Music AAC audio file			1	8/17/23, 2:40 PM			
Tree Among Shrubs	Men I Trust	Emmanuelle Proulx, Dragos Chiriac & Jessy Caron	Untourable Album						Pop	7216966	188	1	1	5	15	2021	8/15/23, 5:28 PM		256	44100		Apple Music AAC audio file							
