Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
In This Town	The Murder City Devils	The Murder City Devils	In Name and Blood						Alternative	6568414	163	1	1	10	12	2000	12/1/23, 2:16 PM		256	44100		Apple Music AAC audio file							
Dishwater	PACKS	Madeline Link	Crispy Crunchy Nothing						Alternative	4482209	110	1	1	3	14	2023	12/1/23, 2:16 PM		256	44100		Apple Music AAC audio file							
You Have No Power over Me	Midnight Peacemaker	Dustin Apodaca	Diary of Dissonance						Pop	8905999	237	1	1	8	10	2018	12/1/23, 2:16 PM		256	44100		Apple Music AAC audio file							
Stuck Inside Someone Else’s Dream	Parker Gispert		Golden Years						Rock	10181039	286	1	1	7	9	2022	12/1/23, 2:16 PM		256	44100		Apple Music AAC audio file							
So Hot You're Hurting My Feelings	Squirrel Flower		Take It or Leave It / So Hot You're Hurting My Feelings - Single						Alternative	7475706	209	1	1	2	2	2020	12/1/23, 2:16 PM		256	44100		Apple Music AAC audio file			1	4/30/25, 12:17 PM			
Boogieman Sam	King Gizzard & The Lizard Wizard	Stuart Mackenzie	Fishing for Fishies						Alternative	10565751	281	1	1	2	9	2019	10/3/22, 2:55 PM	10/6/22, 7:55 PM	256	44100		Apple Music AAC audio file			36	3/28/25, 10:58 AM	1	7/25/23, 7:52 PM	
Fools	Drugdealer	Michael Collins, Benjamin Schwab & Shags Chamberlain	Raw Honey						Alternative	9484363	269	1	1	5	9	2019	11/28/23, 10:45 AM		256	44100		Apple Music AAC audio file			5	4/8/25, 2:40 PM			
Glo Ride	Hot Flash Heat Wave	Adam Abildgaard, Ted Davis & Nick Duffy	Mood Ring - EP						Alternative	7865535	211	1	1	3	6	2018	12/1/23, 2:17 PM		256	44100		Apple Music AAC audio file							
Le Mans	Orions Belte	Kim Åge Furuhaug, Chris Holm & Øyvind Blomstrøm	Mint						Alternative	6521304	182	1	1	6	9	2018	11/28/23, 10:46 AM		256	44100		Apple Music AAC audio file			4	9/21/24, 2:49 PM			
Distraction	Fictionist	Fictionist	Fictionist - EP						Alternative	11065292	312	1	1	6	6	2011	3/14/25, 1:57 PM	3/24/25, 11:41 AM	256	44100		Apple Music AAC audio file			13	4/22/25, 8:47 AM				Macintosh HD/Users/ddegraw/Music/Music/Media.localized/Apple Music/Fictionist/Fictionist - EP/06 Distraction.m4p
Time Trap	Built to Spill	Built to Spill	Keep It Like a Secret						Alternative	11346911	322	1	1	6	10	1999	12/1/23, 2:17 PM		256	44100		Apple Music AAC audio file							
Süpürgesi Yoncadan	Altin Gün		Gece						Worldwide	11723385	329	1	1	10		2019	12/1/23, 2:17 PM		256	44100		Apple Music AAC audio file							
Mr. Grieves	Pixies	Black Francis	Doolittle						Alternative	4750641	125	1	1	8	15	1989	12/1/23, 2:17 PM		256	44100		Apple Music AAC audio file							
Get Me Away from Here, I'm Dying	Belle and Sebastian	Stuart Lee Murdoch	If You're Feeling Sinister						Alternative	7349961	205	1	1	6	10	1996	12/1/23, 2:17 PM		256	44100		Apple Music AAC audio file							
Stuck Between Stations (2016 - Remaster)	The Hold Steady	Franz Alexander Nicolay, Tad Kubler & Craig Finn	Boys and Girls in America (Deluxe Anniversary Edition)						Alternative	9393137	249	1	1	1	28	2006	12/1/23, 2:17 PM		256	44100		Apple Music AAC audio file							
