Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Little Fury Things	Dinosaur Jr.		You're Living All Over Me (Bonus Track Version)						Alternative	6739646	186	1	1	1	10	1987	9/19/23, 4:32 PM		256	44100		Apple Music AAC audio file			3	9/21/23, 3:38 PM			
Do It All Over Again	Spiritualized	Jason Pierce	Let It Come Down						Alternative	7991310	226	1	1	2	11	2001	9/19/23, 4:32 PM		256	44100		Apple Music AAC audio file			3	9/21/23, 3:42 PM			
Moderation	Cate Le Bon	Cate Le Bon	Pompeii						Alternative	8585688	244	1	1	2	9	2021	9/19/23, 4:32 PM		256	44100		Apple Music AAC audio file			1	9/19/23, 6:30 PM			
Stehengelassene Weinflaschen	Wanda	Michael Marco Fitzthum & Paul Gallister	Amore						Pop	7402206	202	1	1	6	12	2014	9/19/23, 4:32 PM		256	44100		Apple Music AAC audio file			2	9/19/23, 5:45 PM			
Center of It All	Anthony Green	Anthony Green	Boom. Done.						Indie Rock	7433036	200	1	1	4	9	2022	7/27/23, 10:00 PM	7/27/23, 10:00 PM	256	44100		Apple Music AAC audio file			4	9/19/23, 6:37 PM	1	9/19/23, 5:39 PM	
Poems, Prayers and Promises	John Denver	John Denver	Poems, Prayers & Promises						Pop	9935075	248	1	1	1	12	1971	9/19/23, 4:33 PM		256	44100		Apple Music AAC audio file			2	9/19/23, 6:01 PM			
Daydream	The Lovin' Spoonful	John Sebastian	Daydream						Rock	5654642	139	1	1	1	17	1966	9/18/23, 4:55 PM	9/18/23, 4:55 PM	256	44100		Apple Music AAC audio file			17	3/22/25, 8:23 PM			
Kiss from a Rose	Seal	Henry Samuel	Seal II						R&B/Soul	10818818	288	1	1	6	11	1994	9/19/23, 4:33 PM		256	44100		Apple Music AAC audio file			13	3/28/25, 12:28 PM			
The Fly	The Mummies		Runnin' on Empty Vol. 2						Rock	4777052	126	1	1	9	13	1996	9/13/23, 5:31 PM	9/13/23, 5:31 PM	256	44100		Apple Music AAC audio file			20	4/8/25, 3:31 PM	2	10/8/23, 8:06 PM	
Muddy Water	King Gizzard & The Lizard Wizard	Stu Mackenzie	Gumboot Soup						Alternative	8229421	218	1	1	4	11	2017	10/6/22, 7:55 PM	10/6/22, 7:55 PM	256	44100		Apple Music AAC audio file			27	3/22/25, 8:33 PM	1	10/13/23, 6:02 PM	
Dose	Ciara	Carmen Reece, Ciara, Rodney Jerkins & Sam Fischer	Dose - Single						R&B/Soul	8013855	222	1	1	1	1	2018	9/19/23, 4:33 PM		256	44100		Apple Music AAC audio file			8	3/22/25, 8:37 PM			
Good Lies	Overmono	Ed Russell, Tom Russell, Catharina Stoltenberg, Henriette Motzfeldt & Maxwell Ravitz	Good Lies						Electronic	5913611	160	1	1	3	11	2023	9/19/23, 4:33 PM		256	44100		Apple Music AAC audio file			3	9/21/23, 3:18 PM			
Center of the Universe	Built to Spill	Built to Spill	Keep It Like a Secret						Alternative	6272677	163	1	1	2	10	1999	9/19/23, 4:33 PM		256	44100		Apple Music AAC audio file			3	9/21/23, 3:21 PM	1	9/19/23, 5:39 PM	
Rubber Ring	The Smiths	Johnny Marr & Morrissey	Louder Than Bombs						Alternative	8312666	228	1	1	17	24	1985	9/19/23, 4:41 PM		256	44100		Apple Music AAC audio file			3	9/21/23, 3:25 PM			
See No Evil	Television	Tom Verlaine	Marquee Moon						Alternative	8820020	238	1	1	1	8	1977	9/19/23, 4:33 PM		256	44100		Apple Music AAC audio file			4	5/22/24, 12:27 PM			
Your Silent Face	New Order	Bernard Sumner, Gillian Gilbert, Peter Hook & Stephen Morris	Power, Corruption & Lies						Rock	12550885	359	1	1	5	8	1983	9/19/23, 4:40 PM		256	44100		Apple Music AAC audio file			3	9/21/23, 3:35 PM	1	9/21/23, 3:35 PM	
