Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Gun	Uncle Tupelo	J. Farrar, J. Tweedy & M. Heidorn	Still Feel Gone						Rock	8134863	220	1	1	1	18	1991	10/18/23, 12:05 PM		256	44100		Apple Music AAC audio file			1	10/18/23, 12:29 PM			
Candyfloss	Wilco	Jay Bennett, Jeff Tweedy & Wilco	Summerteeth						Pop	7021641	177	1	1	16	17	1999	10/18/23, 12:05 PM		256	44100		Apple Music AAC audio file			1	10/18/23, 12:32 PM			
Hey Chicken	Loose Fur		Born Again In the USA						Rock	6570599	182	1	1	1	10	2006	10/18/23, 12:05 PM		256	44100		Apple Music AAC audio file			1	10/18/23, 12:35 PM			
Spiders (Kidsmoke)	Wilco	Jeff Tweedy	A Ghost Is Born (Expanded Edition)	A Ghost Is Born					Alternative	21998408	646	1	2	3	12	2004	10/18/23, 12:05 PM		256	44100		Apple Music AAC audio file			1	10/18/23, 12:45 PM			
Behold Jeff Tweedy in the Darkness	Deerhoof & Jeff Tweedy		Behold a Raccoon in the Darkness - Single						Alternative	7756630	210	1	1	1	2	2011	10/18/23, 12:05 PM		256	44100		Apple Music AAC audio file			1	10/18/23, 12:49 PM			
Matthew (Alternate Version)	John Denver	John Denver	Back Home Again						Pop	8119761	230	1	1	13	14	1974	10/18/23, 12:05 PM		256	44100		Apple Music AAC audio file			1	10/18/23, 12:53 PM			
Rare Air	Mildlife	Adam Halliwell, James Donald, Kevin McDowell, Tomas Shanahan & James Rindfleish	Automatic						Alternative	14043793	413	1	1	1	6	2020	10/17/23, 10:32 AM		256	44100		Apple Music AAC audio file			4	2/25/25, 2:13 PM			
Secret Enchanted Broccoli Forest	Babe Rainbow	Elliot O'reilly, Angus Dowling & Jack Crowther	The Babe Rainbow EP						Alternative	8449286	233	1	1	2	4	2015	10/2/23, 9:36 AM	10/2/23, 9:36 AM	256	44100		Apple Music AAC audio file			133	4/28/25, 9:28 AM	1	9/22/24, 4:44 PM	
Bellarine Ballerina	The Murlocs	Cal Shortal & Ambrose Kenny-Smith	Rapscallion						Alternative	8163782	226	1	1	2	12	2022	10/14/23, 7:06 PM		256	44100		Apple Music AAC audio file			4	2/25/25, 9:26 PM			
San Francisco	Foxygen		We Are the 21st Century Ambassadors of Peace & Magic						Alternative	9138737	227	1	1	4	9	2013	10/17/23, 10:29 AM		256	44100		Apple Music AAC audio file			4	2/25/25, 4:29 PM			
Congratulations	Dumbo Gets Mad	Luca Bergomi	Things Are Random and Time Is Speeding Up						Alternative	8153177	229	1	1	3	9	2021	4/10/23, 10:21 AM	4/10/23, 10:21 AM	256	44100		Apple Music AAC audio file			27	4/24/25, 5:04 PM	2	10/18/23, 3:35 PM	
SWEET	BROCKHAMPTON		SATURATION II						Hip-Hop/Rap	9770699	274	1	1	13	16	2017	10/18/23, 12:05 PM		256	44100		Apple Music AAC audio file			1	10/18/23, 1:16 PM	1	10/19/23, 3:13 PM	
Not My Baby	Alvvays		Antisocialites						Alternative	9004864	256	1	1	5	10	2017	10/18/23, 12:06 PM		256	44100		Apple Music AAC audio file			1	10/18/23, 1:20 PM			
Cannonball (2023 Remaster)	The Breeders	Kim Deal	Last Splash (30th Anniversary Edition)						Alternative	7796173	213	1	1	2	17	2023	10/18/23, 12:06 PM		256	44100		Apple Music AAC audio file			1	10/18/23, 1:24 PM			
End of a Century	Blur	Alex James, Damon Albarn, Dave Rowntree & Graham Coxon	Parklife						Pop/Rock	6430256	165	1	1	3	16	1994	10/18/23, 12:06 PM		256	44100		Apple Music AAC audio file			1	10/18/23, 1:26 PM			
Birth4000	Floating Points	Sam Shepherd	Birth4000 - Single						Electronic	10079369	286	1	1	1	1	2023	10/18/23, 12:06 PM		256	44100		Apple Music AAC audio file			1	10/18/23, 1:31 PM			
